Source File,Source Sheet,CVE,CVSS,CVSS Severity,CWE,CWE Name,Description
CategoryIII_CameraDoorbellDeviceTypes.xlsx,video doorbell,CVE-2015-4400,4.6,MEDIUM,CWE-255,CWE-255,Ring (formerly DoorBot) video doorbells allow remote attackers to obtain sensitive information about the wireless network configuration by pressing the set up button and leveraging an API in the GainSpan Wi-Fi module.
CategoryIII_CameraDoorbellDeviceTypes.xlsx,video doorbell,CVE-2019-9483,9.1,CRITICAL,CWE-327,CWE-327,"Amazon Ring Doorbell before 3.4.7 mishandles encryption, which allows attackers to obtain audio and video data, or insert spoofed video that does not correspond to the actual person at the door."
CategoryIII_CameraDoorbellDeviceTypes.xlsx,video doorbell,CVE-2019-13336,9.8,CRITICAL,CWE-287,CWE-287,"The dbell Wi-Fi Smart Video Doorbell DB01-S Gen 1 allows remote attackers to launch commands with no authentication verification via TCP port 81, because the loginuse and loginpass parameters to openlock.cgi can have arbitrary values. NOTE: the vendor's position is that this product reached end of life in 2016."
CategoryIII_CameraDoorbellDeviceTypes.xlsx,video doorbell,CVE-2020-8101,6.9,MEDIUM,CWE-77,CWE-77,Improper Neutralization of Special Elements used in a Command ('Command Injection') vulnerability in HTTP interface of ADT LifeShield DIY HD Video Doorbell allows an attacker on the same network to execute commands on the device. This issue affects: ADT LifeShield DIY HD Video Doorbell version 1.0.02R09 and prior versions.
CategoryIII_CameraDoorbellDeviceTypes.xlsx,video doorbell,CVE-2024-34896,7.5,HIGH,,,"An issue in Nedis SmartLife Video Doorbell (WIFICDP10GY), Nedis SmartLife IOS v1.4.0 causes users who are disconnected from a previous peer-to-peer connection with the device to still have access to live video feed."
CategoryIII_CameraDoorbellDeviceTypes.xlsx,video doorbell,CVE-2025-55626,5.3,MEDIUM,CWE-284,CWE-284,An Insecure Direct Object Reference (IDOR) vulnerability in Reolink Smart 2K+ Plug-in Wi-Fi Video Doorbell with Chime - firmware v3.0.0.4662_2503122283 allows unauthorized attackers to access the Admin-only settings and edit the session storage.
CategoryIII_CameraDoorbellDeviceTypes.xlsx,video doorbell,CVE-2025-55627,5.3,MEDIUM,CWE-269,CWE-269,Insufficient privilege verification in Reolink Smart 2K+ Plug-in Wi-Fi Video Doorbell with Chime - firmware v3.0.0.4662_2503122283 allows authenticated attackers to create accounts with elevated privileges.
CategoryIII_CameraDoorbellDeviceTypes.xlsx,video doorbell,CVE-2025-55629,6.5,MEDIUM,CWE-378,CWE-378,Insecure permissions in Reolink Smart 2K+ Plug-in Wi-Fi Video Doorbell with Chime - firmware v3.0.0.4662_2503122283 allow attackers to arbitrarily change other users' passwords via manipulation of the userName value.
CategoryIII_CameraDoorbellDeviceTypes.xlsx,video doorbell,CVE-2025-55630,7.3,HIGH,CWE-284,CWE-284,A discrepancy in the error message returned by the login function of Reolink Smart 2K+ Plug-in Wi-Fi Video Doorbell with Chime - firmware v3.0.0.4662_2503122283 when entering the wrong username and password allows attackers to enumerate existing accounts.
CategoryIII_CameraDoorbellDeviceTypes.xlsx,video doorbell,CVE-2025-55631,4.0,MEDIUM,CWE-400,CWE-400,"Reolink Smart 2K+ Plug-in Wi-Fi Video Doorbell with Chime - firmware v3.0.0.4662_2503122283 was discovered to manage users' sessions system wide instead of an account-by-account basis, potentially leading to a Denial of Service (DoS) via resource exhaustion. NOTE: the Supplier reports that the system-wide limit is intentional."
