Source File,Source Sheet,CVE,CVSS,CVSS Severity,CWE,CWE Name,Description
CategoryIII_CameraDoorbellDeviceTypes.xlsx,ip camera,CVE-2021-4045,9.8,CRITICAL,CWE-77,CWE-77,"TP-Link Tapo C200 IP camera, on its 1.1.15 firmware version and below, is affected by an unauthenticated RCE vulnerability, present in the uhttpd binary running by default as root. The exploitation of this vulnerability allows an attacker to take full control of the camera."
CategoryIII_CameraDoorbellDeviceTypes.xlsx,ip camera,CVE-2023-35717,8.8,HIGH,CWE-640,CWE-640,"TP-Link Tapo C210 Password Recovery Authentication Bypass Vulnerability. This vulnerability allows network-adjacent attackers to bypass authentication on affected installations of TP-Link Tapo C210 IP cameras. Authentication is not required to exploit this vulnerability.

The specific flaw exists within the password recovery mechanism. The issue results from reliance upon the secrecy of the password derivation algorithm when generating a recovery password. An attacker can leverage this vulnerability to bypass authentication on the system.
. Was ZDI-CAN-20484."
CategoryIII_CameraDoorbellDeviceTypes.xlsx,ip camera,CVE-2023-41184,8.0,HIGH,CWE-121,CWE-121,"TP-Link Tapo C210 ActiveCells Stack-based Buffer Overflow Remote Code Execution Vulnerability. This vulnerability allows network-adjacent attackers to execute arbitrary code on affected installations of TP-Link Tapo C210 IP cameras. Although authentication is required to exploit this vulnerability, the existing authentication mechanism can be bypassed.

The specific flaw exists within the handling of the ActiveCells parameter of the CreateRules and ModifyRules APIs. The issue results from the lack of proper validation of the length of user-supplied data prior to copying it to a fixed-length stack-based buffer. An attacker can leverage this vulnerability to execute code in the context of root.
. Was ZDI-CAN-20589."
CategoryIII_CameraDoorbellDeviceTypes.xlsx,network camera,CVE-2023-35717,8.8,HIGH,CWE-640,CWE-640,"TP-Link Tapo C210 Password Recovery Authentication Bypass Vulnerability. This vulnerability allows network-adjacent attackers to bypass authentication on affected installations of TP-Link Tapo C210 IP cameras. Authentication is not required to exploit this vulnerability.

The specific flaw exists within the password recovery mechanism. The issue results from reliance upon the secrecy of the password derivation algorithm when generating a recovery password. An attacker can leverage this vulnerability to bypass authentication on the system.
. Was ZDI-CAN-20484."
CategoryIII_CameraDoorbellDeviceTypes.xlsx,network camera,CVE-2023-41184,8.0,HIGH,CWE-121,CWE-121,"TP-Link Tapo C210 ActiveCells Stack-based Buffer Overflow Remote Code Execution Vulnerability. This vulnerability allows network-adjacent attackers to execute arbitrary code on affected installations of TP-Link Tapo C210 IP cameras. Although authentication is required to exploit this vulnerability, the existing authentication mechanism can be bypassed.

The specific flaw exists within the handling of the ActiveCells parameter of the CreateRules and ModifyRules APIs. The issue results from the lack of proper validation of the length of user-supplied data prior to copying it to a fixed-length stack-based buffer. An attacker can leverage this vulnerability to execute code in the context of root.
. Was ZDI-CAN-20589."
CategoryIII_CameraDoorbellDeviceTypes.xlsx,network camera,CVE-2025-14553,,,CWE-200,CWE-200,"Exposure of password hashes through an unauthenticated API response in TP-Link Tapo app on iOS and Android for Tapo cameras, allowing attackers to brute force the password in the local network. Issue can be mitigated through mobile application updates. Device firmware remains unchanged."
CategoryIII_CameraDoorbellDeviceTypes.xlsx,wifi camera,CVE-2023-27126,4.6,MEDIUM,CWE-522,CWE-522,The AES Key-IV pair used by the TP-Link TAPO C200 camera V3 (EU) on firmware version 1.1.22 Build 220725 is reused across all cameras. An attacker with physical access to a camera is able to extract and decrypt sensitive data containing the Wifi password and the TP-LINK account credential of the victim.
CategoryIV_AccessControlDeviceTypes.xlsx,smart lock,CVE-2023-39841,4.6,MEDIUM,CWE-311,CWE-311,Missing encryption in the RFID tag of Etekcity 3-in-1 Smart Door Lock v1.0 allows attackers to create a cloned tag via brief physical proximity to the original device.
CategoryIV_AccessControlDeviceTypes.xlsx,door lock,CVE-2023-39841,4.6,MEDIUM,CWE-311,CWE-311,Missing encryption in the RFID tag of Etekcity 3-in-1 Smart Door Lock v1.0 allows attackers to create a cloned tag via brief physical proximity to the original device.
CategoryIX_IoTDeviceTypes.xlsx,tplink,CVE-2016-1000009,7.5,HIGH,CWE-254,CWE-254,"TP-LINK lost control of two domains, www.tplinklogin.net and tplinkextender.net. Please note that these domains are physically printed on many of the devices."
