category,vendor_product,matched_tokens,n_new_cves,covered_elsewhere_slug,risk_flags,sample_cves,sample_descriptions
babymonitor,summerinfant:baby_zoom_wifi_monitor_firmware,baby,2,,,CVE-2015-2888|CVE-2015-2889,"Summer Baby Zoom Wifi Monitor & Internet Viewing System allows remote attackers to bypass authentication, related to the MySnapCam web service.|Summer Baby Zoom Wifi Monitor & Internet Viewing System allows remote attackers to gain privileges via manual entry of a Settings URL."
babymonitor,summerinfant:baby_zoom_wifi_monitor,baby,2,,,CVE-2015-2888|CVE-2015-2889,"Summer Baby Zoom Wifi Monitor & Internet Viewing System allows remote attackers to bypass authentication, related to the MySnapCam web service.|Summer Baby Zoom Wifi Monitor & Internet Viewing System allows remote attackers to gain privileges via manual entry of a Settings URL."
babymonitor,mimobaby:mimo_baby_2_firmware,baby,1,,,CVE-2018-10825,"Mimo Baby 2 devices do not use authentication or encryption for the Bluetooth Low Energy (BLE) communication from a Turtle to a Lilypad, which allows "
babymonitor,mimobaby:mimo_baby_2,baby,1,,,CVE-2018-10825,"Mimo Baby 2 devices do not use authentication or encryption for the Bluetooth Low Energy (BLE) communication from a Turtle to a Lilypad, which allows "
babymonitor,biltema:baby_camera_firmware,baby,1,,,CVE-2022-34138,Insecure direct object references (IDOR) in the web server of Biltema IP and Baby Camera Software v124 allows attackers to access sensitive informatio
babymonitor,biltema:baby_camera,baby,1,,,CVE-2022-34138,Insecure direct object references (IDOR) in the web server of Biltema IP and Baby Camera Software v124 allows attackers to access sensitive informatio
cameras,furbo:furbo_360_dog_camera_firmware,camera,17,pet,,CVE-2025-11633|CVE-2025-11634|CVE-2025-11635,A vulnerability was identified in Tomofun Furbo 360 and Furbo Mini. Affected by this issue is the function upload_file_to_s3 of the file collect_logs.|A security flaw has been discovered in Tomofun Furbo 360 and Furbo Mini. This affects an unknown part of the component UART Interface. The manipulatio|A weakness has been identified in Tomofun Furbo 360 up to FB0035_FW_036. This vulnerability affects unknown code of the component File Upload. This ma
cameras,furbo:furbo_360_dog_camera,camera,17,pet,,CVE-2025-11633|CVE-2025-11634|CVE-2025-11635,A vulnerability was identified in Tomofun Furbo 360 and Furbo Mini. Affected by this issue is the function upload_file_to_s3 of the file collect_logs.|A security flaw has been discovered in Tomofun Furbo 360 and Furbo Mini. This affects an unknown part of the component UART Interface. The manipulatio|A weakness has been identified in Tomofun Furbo 360 up to FB0035_FW_036. This vulnerability affects unknown code of the component File Upload. This ma
cameras,geutebrueck:g-cam_ebc-2110_firmware,cam,13,,non-consumer-vendor,CVE-2021-33543|CVE-2021-33544|CVE-2021-33545,"Multiple camera devices by UDP Technology, Geutebrück and other vendors allow unauthenticated remote access to sensitive files due to default user aut|Multiple camera devices by UDP Technology, Geutebrück and other vendors are vulnerable to command injection, which may allow an attacker to remotely e|Multiple camera devices by UDP Technology, Geutebrück and other vendors are vulnerable to a stack-based buffer overflow condition in the counter param"
cameras,geutebrueck:g-cam_ebc-2110,cam,13,,non-consumer-vendor,CVE-2021-33543|CVE-2021-33544|CVE-2021-33545,"Multiple camera devices by UDP Technology, Geutebrück and other vendors allow unauthenticated remote access to sensitive files due to default user aut|Multiple camera devices by UDP Technology, Geutebrück and other vendors are vulnerable to command injection, which may allow an attacker to remotely e|Multiple camera devices by UDP Technology, Geutebrück and other vendors are vulnerable to a stack-based buffer overflow condition in the counter param"
cameras,geutebrueck:g-cam_ebc-2111_firmware,cam,13,,non-consumer-vendor,CVE-2021-33543|CVE-2021-33544|CVE-2021-33545,"Multiple camera devices by UDP Technology, Geutebrück and other vendors allow unauthenticated remote access to sensitive files due to default user aut|Multiple camera devices by UDP Technology, Geutebrück and other vendors are vulnerable to command injection, which may allow an attacker to remotely e|Multiple camera devices by UDP Technology, Geutebrück and other vendors are vulnerable to a stack-based buffer overflow condition in the counter param"
cameras,geutebrueck:g-cam_ebc-2111,cam,13,,non-consumer-vendor,CVE-2021-33543|CVE-2021-33544|CVE-2021-33545,"Multiple camera devices by UDP Technology, Geutebrück and other vendors allow unauthenticated remote access to sensitive files due to default user aut|Multiple camera devices by UDP Technology, Geutebrück and other vendors are vulnerable to command injection, which may allow an attacker to remotely e|Multiple camera devices by UDP Technology, Geutebrück and other vendors are vulnerable to a stack-based buffer overflow condition in the counter param"
cameras,geutebrueck:g-cam_efd-2241_firmware,cam,13,,non-consumer-vendor,CVE-2021-33543|CVE-2021-33544|CVE-2021-33545,"Multiple camera devices by UDP Technology, Geutebrück and other vendors allow unauthenticated remote access to sensitive files due to default user aut|Multiple camera devices by UDP Technology, Geutebrück and other vendors are vulnerable to command injection, which may allow an attacker to remotely e|Multiple camera devices by UDP Technology, Geutebrück and other vendors are vulnerable to a stack-based buffer overflow condition in the counter param"
cameras,geutebrueck:g-cam_efd-2241,cam,13,,non-consumer-vendor,CVE-2021-33543|CVE-2021-33544|CVE-2021-33545,"Multiple camera devices by UDP Technology, Geutebrück and other vendors allow unauthenticated remote access to sensitive files due to default user aut|Multiple camera devices by UDP Technology, Geutebrück and other vendors are vulnerable to command injection, which may allow an attacker to remotely e|Multiple camera devices by UDP Technology, Geutebrück and other vendors are vulnerable to a stack-based buffer overflow condition in the counter param"
cameras,geutebrueck:g-cam_efd-2250_firmware,cam,13,,non-consumer-vendor,CVE-2021-33543|CVE-2021-33544|CVE-2021-33545,"Multiple camera devices by UDP Technology, Geutebrück and other vendors allow unauthenticated remote access to sensitive files due to default user aut|Multiple camera devices by UDP Technology, Geutebrück and other vendors are vulnerable to command injection, which may allow an attacker to remotely e|Multiple camera devices by UDP Technology, Geutebrück and other vendors are vulnerable to a stack-based buffer overflow condition in the counter param"
cameras,geutebrueck:g-cam_efd-2250,cam,13,,non-consumer-vendor,CVE-2021-33543|CVE-2021-33544|CVE-2021-33545,"Multiple camera devices by UDP Technology, Geutebrück and other vendors allow unauthenticated remote access to sensitive files due to default user aut|Multiple camera devices by UDP Technology, Geutebrück and other vendors are vulnerable to command injection, which may allow an attacker to remotely e|Multiple camera devices by UDP Technology, Geutebrück and other vendors are vulnerable to a stack-based buffer overflow condition in the counter param"
