Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings
keyword_only,CVE-2002-0601,2002-06-18,ISS RealSecure Network Sensor 5.x through 6.5 allows remote attackers to cause a denial of service (crash) via malformed DHCP packets that cause RealSecure to dereference a null pointer.,5.0,2.0,,cpe:2.3:a:information_security_systems:realsecure_network_sensor:5.0_xpu_3.4:*:*:*:*:*:*:*|cpe:2.3:a:information_security_systems:realsecure_network_sensor:5.5.1_xpu_3.4:*:*:*:*:*:*:*|cpe:2.3:a:information_security_systems:realsecure_network_sensor:5.5.2_xpu_3.4:*:*:*:*:*:*:*|cpe:2.3:a:information_security_systems:realsecure_network_sensor:5.5_xpu_3.4:*:*:*:*:*:*:*|cpe:2.3:a:information_security_systems:realsecure_network_sensor:6.0_xpu_3.4:*:*:*:*:*:*:*|cpe:2.3:a:information_security_systems:realsecure_network_sensor:6.5:*:*:*:*:*:*:*
keyword_only,CVE-2003-1527,2003-12-31,"BlackICE Defender 2.9.cap and Server Protection 3.5.cdf, when configured to automatically block attacks, allows remote attackers to block IP addresses and cause a denial of service via spoofed packets.",4.3,2.0,,cpe:2.3:a:ibm:internet_security_systems_blackice_defender:2.9cap:*:*:*:*:*:*:*|cpe:2.3:a:iss:blackice_server_protection:3.5.cdf:*:*:*:*:*:*:*
keyword_only,CVE-2005-2779,2005-09-02,"The iTAN Online-Banking Security System allows remote attackers to obtain TAN numbers via a man-in-the-middle (MITM) attack while the transaction is taking place, which facilitates a ""phishing"" attack.",5.0,2.0,,cpe:2.3:a:itan_online-banking_security_system:itan_online-banking_security_system:*:*:*:*:*:*:*:*
keyword_only,CVE-2008-1073,2008-02-29,Cross-site scripting (XSS) vulnerability in the report interface in Internet Security Systems (ISS) Internet Scanner 7.0 Service Pack 2 Build 7.2.2005.52 allows remote attackers to inject arbitrary web script or HTML via unspecified vectors.,4.3,2.0,CWE-79,cpe:2.3:a:internet_security_systems:internet_scanner:7.0_sp2:*:*:*:*:*:*:*
keyword_only,CVE-2009-1240,2009-04-03,"Unspecified vulnerability in the IBM Proventia engine 4.9.0.0.44 20081231, as used in IBM Proventia Network Mail Security System, Network Mail Security System Virtual Appliance, Desktop Endpoint Security, Network Multi-Function Security (MFS), and possibly other products, allows remote attackers to bypass detection of malware via a modified RAR archive.",10.0,2.0,,cpe:2.3:a:ibm:proventia_desktop_endpoint_security:*:*:*:*:*:*:*:*|cpe:2.3:a:ibm:proventia_network_mail_security_system:*:*:*:*:*:*:*:*|cpe:2.3:h:ibm:network_multi-function_security:*:*:*:*:*:*:*:*|cpe:2.3:h:ibm:proventia_network_mail_security_system_virtual_appliance:*:*:*:*:*:*:*:*
keyword_only,CVE-2009-2543,2009-07-20,"Multiple unspecified vulnerabilities in the IBM Proventia engine 4.9.0.0.44 20081231, as used in IBM Proventia Network Mail Security System, Network Mail Security System Virtual Appliance, Desktop Endpoint Security, Network Multi-Function Security (MFS), and possibly other products, allow remote attackers to bypass detection of malware via a modified (1) ZIP or (2) CAB archive, a related issue to CVE-2009-1240.",10.0,2.0,,cpe:2.3:a:ibm:proventia_desktop_endpoint_security:*:*:*:*:*:*:*:*|cpe:2.3:a:ibm:proventia_network_mail_security_system:*:*:*:*:*:*:*:*|cpe:2.3:a:ibm:proventia_network_mail_security_system_vitual_appliance:*:*:*:*:*:*:*:*|cpe:2.3:a:ibm:proventia_network_multi-function_security:*:*:*:*:*:*:*:*
keyword_only,CVE-2010-0152,2010-09-14,"Multiple cross-site scripting (XSS) vulnerabilities in the Local Management Interface (LMI) on the IBM Proventia Network Mail Security System (PNMSS) appliance with firmware before 2.5.0.2 allow remote attackers to inject arbitrary web script or HTML via (1) the date1 parameter to pvm_messagestore.php, (2) the userfilter parameter to pvm_user_management.php, (3) the ping parameter to sys_tools.php in a sys_ping.php action, (4) the action parameter to pvm_cert_commaction.php, (5) the action parameter to pvm_cert_serveraction.php, (6) the action parameter to pvm_smtpstore.php, (7) the l parameter to sla/index.php, or (8) unspecified stored data; and allow remote authenticated users to inject arbitrary web script or HTML via (9) saved search filters.",4.3,2.0,CWE-79,cpe:2.3:a:ibm:proventia_network_mail_security_system_virtual_appliance:*:*:*:*:*:*:*:*|cpe:2.3:a:ibm:proventia_network_mail_security_system_virtual_appliance_firmware:1.6:*:*:*:*:*:*:*|cpe:2.3:a:ibm:proventia_network_mail_security_system_virtual_appliance_firmware:2.5:*:*:*:*:*:*:*
keyword_only,CVE-2010-0153,2010-09-14,Multiple cross-site request forgery (CSRF) vulnerabilities in the Local Management Interface (LMI) on the IBM Proventia Network Mail Security System (PNMSS) appliance with firmware before 2.5.0.2 allow remote attackers to hijack the authentication of administrators for requests that (1) change settings or (2) conduct denial of service attacks.,6.8,2.0,CWE-352,cpe:2.3:a:ibm:proventia_network_mail_security_system_virtual_appliance:*:*:*:*:*:*:*:*|cpe:2.3:a:ibm:proventia_network_mail_security_system_virtual_appliance_firmware:1.6:*:*:*:*:*:*:*|cpe:2.3:a:ibm:proventia_network_mail_security_system_virtual_appliance_firmware:2.5:*:*:*:*:*:*:*
keyword_only,CVE-2010-0154,2010-09-14,"Directory traversal vulnerability in sla/index.php in the Local Management Interface (LMI) on the IBM Proventia Network Mail Security System (PNMSS) appliance with firmware before 2.5 allows remote authenticated users to read arbitrary files via a .. (dot dot) in the l parameter, related to an ""Insecure Direct Object Reference vulnerability.""",4.0,2.0,CWE-22,cpe:2.3:a:ibm:proventia_network_mail_security_system_virtual_appliance:*:*:*:*:*:*:*:*|cpe:2.3:a:ibm:proventia_network_mail_security_system_virtual_appliance_firmware:1.6:*:*:*:*:*:*:*
keyword_only,CVE-2010-0155,2010-09-14,CRLF injection vulnerability in load.php in the Local Management Interface (LMI) on the IBM Proventia Network Mail Security System (PNMSS) appliance with firmware before 2.5 allows remote authenticated users to inject arbitrary HTTP headers and conduct HTTP response splitting attacks via the javaVersion parameter.,3.5,2.0,CWE-94,cpe:2.3:a:ibm:proventia_network_mail_security_system_virtual_appliance:*:*:*:*:*:*:*:*|cpe:2.3:a:ibm:proventia_network_mail_security_system_virtual_appliance_firmware:1.6:*:*:*:*:*:*:*
keyword_only,CVE-2012-2955,2012-07-20,"Multiple cross-site scripting (XSS) vulnerabilities in the administrative user interface in IBM Lotus Protector for Mail Security 2.1, 2.5, 2.5.1, and 2.8 and IBM ISS Proventia Network Mail Security System allow remote attackers to inject arbitrary web script or HTML via the query string.",4.3,2.0,CWE-79,cpe:2.3:o:ibm:proventia_network_mail_security_system_firmware:2.5:*:*:*:*:*:*:*|cpe:2.3:o:ibm:proventia_network_mail_security_system_firmware:2.5.0.2:*:*:*:*:*:*:*|cpe:2.3:o:ibm:proventia_network_mail_security_system_firmware:2.5.1:*:*:*:*:*:*:*|cpe:2.3:o:ibm:proventia_network_mail_security_system_firmware:2.6:*:*:*:*:*:*:*|cpe:2.3:o:ibm:proventia_network_mail_security_system_firmware:2.8:*:*:*:*:*:*:*|cpe:2.3:h:ibm:proventia_network_mail_security_system:*:*:*:*:*:*:*:*|cpe:2.3:h:ibm:proventia_network_mail_security_system:ms3004:*:*:*:*:*:*:*|cpe:2.3:a:ibm:lotus_protector_for_mail_security:2.1:*:*:*:*:*:*:*|cpe:2.3:a:ibm:lotus_protector_for_mail_security:2.5:*:*:*:*:*:*:*|cpe:2.3:a:ibm:lotus_protector_for_mail_security:2.5.1:*:*:*:*:*:*:*|cpe:2.3:a:ibm:lotus_protector_for_mail_security:2.8:*:*:*:*:*:*:*
keyword_only,CVE-2012-2202,2012-07-27,"Directory traversal vulnerability in javatester_init.php in IBM Lotus Protector for Mail Security 2.1, 2.5, 2.5.1, and 2.8 and IBM ISS Proventia Network Mail Security System allows remote authenticated administrators to read arbitrary files via a .. (dot dot) in the template parameter.",3.5,2.0,CWE-22,cpe:2.3:a:ibm:lotus_protector_for_mail_security:2.1:*:*:*:*:*:*:*|cpe:2.3:a:ibm:lotus_protector_for_mail_security:2.5:*:*:*:*:*:*:*|cpe:2.3:a:ibm:lotus_protector_for_mail_security:2.5.1:*:*:*:*:*:*:*|cpe:2.3:a:ibm:lotus_protector_for_mail_security:2.8:*:*:*:*:*:*:*|cpe:2.3:o:ibm:proventia_network_mail_security_system_firmware:2.5:*:*:*:*:*:*:*|cpe:2.3:o:ibm:proventia_network_mail_security_system_firmware:2.5.0.2:*:*:*:*:*:*:*|cpe:2.3:o:ibm:proventia_network_mail_security_system_firmware:2.5.1:*:*:*:*:*:*:*|cpe:2.3:o:ibm:proventia_network_mail_security_system_firmware:2.6:*:*:*:*:*:*:*|cpe:2.3:o:ibm:proventia_network_mail_security_system_firmware:2.8:*:*:*:*:*:*:*|cpe:2.3:h:ibm:proventia_network_mail_security_system:*:*:*:*:*:*:*:*
keyword_only,CVE-2012-2191,2012-08-08,"IBM Global Security Kit (aka GSKit) before 8.0.14.22, as used in IBM Rational Directory Server, IBM Tivoli Directory Server, and other products, does not properly validate data during execution of a protection mechanism against the Vaudenay SSL CBC timing attack, which allows remote attackers to cause a denial of service (application crash) via crafted values in the TLS Record Layer, a different vulnerability than CVE-2012-2333.",5.0,2.0,CWE-20,cpe:2.3:a:ibm:global_security_kit:*:*:*:*:*:*:*:*|cpe:2.3:a:ibm:global_security_kit:7.0.4.28:*:*:*:*:*:*:*|cpe:2.3:a:ibm:global_security_kit:7.0.4.29:*:*:*:*:*:*:*|cpe:2.3:a:ibm:rational_directory_server:*:*:*:*:*:*:*:*|cpe:2.3:a:ibm:tivoli_directory_server:*:*:*:*:*:*:*:*
keyword_only,CVE-2012-2203,2012-08-08,"IBM Global Security Kit (aka GSKit) before 8.0.14.22, as used in IBM Rational Directory Server, IBM Tivoli Directory Server, and other products, uses the PKCS #12 file format for certificate objects without enforcing file integrity, which makes it easier for remote attackers to spoof SSL servers via vectors involving insertion of an arbitrary root Certification Authority (CA) certificate.",7.5,2.0,CWE-264,cpe:2.3:a:ibm:global_security_kit:*:*:*:*:*:*:*:*|cpe:2.3:a:ibm:global_security_kit:7.0.4.28:*:*:*:*:*:*:*|cpe:2.3:a:ibm:global_security_kit:7.0.4.29:*:*:*:*:*:*:*|cpe:2.3:a:ibm:rational_directory_server:*:*:*:*:*:*:*:*|cpe:2.3:a:ibm:tivoli_directory_server:*:*:*:*:*:*:*:*
keyword_only,CVE-2014-8362,2017-01-23,Vivint Sky Control Panel 1.1.1.9926 allows remote attackers to enable and disable the alarm system and modify other security settings via the Web-enabled interface.,9.8,3.0,CWE-284,cpe:2.3:o:vivint:sky_control_panel_firmware:1.1.1.9926:*:*:*:*:*:*:*|cpe:2.3:h:vivint:sky_control_panel:-:*:*:*:*:*:*:*
keyword_only,CVE-2018-5560,2019-01-31,"A reliance on a static, hard-coded credential in the design of the cloud-based storage system of Practecol's Guardzilla All-In-One Video Security System allows an attacker to view the private data of all users of the Guardzilla device.",7.5,3.0,CWE-798,cpe:2.3:o:guardzilla:gz521w_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:guardzilla:gz521w:-:*:*:*:*:*:*:*
keyword_only,CVE-2023-24709,2023-03-21,An issue found in Paradox Security Systems IPR512 allows attackers to cause a denial of service via the login.html and login.xml parameters.,7.5,3.1,CWE-94,cpe:2.3:o:paradox:ipr512_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:paradox:ipr512:-:*:*:*:*:*:*:*
keyword_only,CVE-2024-10534,2024-11-15,"Origin Validation Error vulnerability in Dataprom Informatics Personnel Attendance Control Systems (PACS) / Access Control Security Systems (ACSS) allows Traffic Injection.

This issue affects Personnel Attendance Control Systems (PACS) / Access Control Security Systems (ACSS): before 2024.",9.8,3.1,CWE-346,cpe:2.3:a:dataprom:personnel_attendance_control_systems_\/_access_control_security_systems:*:*:*:*:*:*:*:*
keyword_only,CVE-2013-6329,2013-12-17,"IBM Global Security Kit (aka GSKit), as used in Content Manager OnDemand 8.5 and 9.0 and other products, allows remote attackers to cause a denial of service via a crafted handshake during resumption of an SSLv2 session.",7.8,2.0,CWE-310,cpe:2.3:a:ibm:content_manager_ondemand_for_multiplatforms:8.5:*:*:*:*:*:*:*|cpe:2.3:a:ibm:content_manager_ondemand_for_multiplatforms:9.0:*:*:*:*:*:*:*|cpe:2.3:a:ibm:global_security_kit:-:*:*:*:*:*:*:*|cpe:2.3:a:ibm:security_access_manager_for_web:6.0:*:*:*:*:*:*:*|cpe:2.3:a:ibm:security_access_manager_for_web:6.1:*:*:*:*:*:*:*|cpe:2.3:a:ibm:security_access_manager_for_web:6.1.1:*:*:*:*:*:*:*|cpe:2.3:a:ibm:security_access_manager_for_web:7.0:*:*:*:*:*:*:*
keyword_only,CVE-2013-6747,2014-01-27,"IBM GSKit 7.x before 7.0.4.48 and 8.x before 8.0.50.16, as used in IBM Security Directory Server (ISDS) and Tivoli Directory Server (TDS), allows remote attackers to cause a denial of service (application crash or hang) via a malformed X.509 certificate chain.",7.1,2.0,CWE-20,cpe:2.3:a:ibm:global_security_kit:8.5:*:*:*:*:*:*:*|cpe:2.3:a:ibm:global_security_kit:7.0:*:*:*:*:*:*:*|cpe:2.3:a:ibm:global_security_kit:7.0.4.28:*:*:*:*:*:*:*|cpe:2.3:a:ibm:global_security_kit:7.0.4.29:*:*:*:*:*:*:*|cpe:2.3:a:ibm:global_security_kit:8.0:*:*:*:*:*:*:*|cpe:2.3:a:ibm:global_security_kit:8.0.13:*:*:*:*:*:*:*|cpe:2.3:a:ibm:security_directory_server:-:*:*:*:*:*:*:*|cpe:2.3:a:ibm:tivoli_directory_server:-:*:*:*:*:*:*:*
keyword_only,CVE-2014-0963,2014-05-08,The Reverse Proxy feature in IBM Global Security Kit (aka GSKit) in IBM Security Access Manager (ISAM) for Web 7.0 before 7.0.0-ISS-SAM-IF0006 and 8.0 before 8.0.0.3-ISS-WGA-IF0002 allows remote attackers to cause a denial of service (infinite loop) via crafted SSL messages.,7.1,2.0,CWE-399,cpe:2.3:a:ibm:security_access_manager_for_web_software:7.0:*:*:*:*:*:*:*|cpe:2.3:a:ibm:security_access_manager_for_web_software:8.0:*:*:*:*:*:*:*|cpe:2.3:h:ibm:security_access_manager_for_web_appliance:7.0:*:*:*:*:*:*:*|cpe:2.3:h:ibm:security_access_manager_for_web_appliance:8.0:*:*:*:*:*:*:*
keyword_only,CVE-2015-6970,2020-02-18,The web interface in Bosch Security Systems NBN-498 Dinion2X Day/Night IP Cameras with H.264 Firmware 4.54.0026 allows remote attackers to conduct XML injection attacks via the idstring parameter to rcp.xml.,9.8,3.1,CWE-91,cpe:2.3:o:boschsecurity:nbn-498_dinion2x_day\/night_ip_cameras_firmware:4.54.0026:*:*:*:*:*:*:*|cpe:2.3:h:boschsecurity:nbn-498_dinion2x_day\/night_ip_cameras:-:*:*:*:*:*:*:*
keyword_only,CVE-2020-29193,2020-12-28,Panasonic Security System WV-S2231L 4.25 has an insecure hard-coded password of lkjhgfdsa (which is just the asdf keyboard row in reverse order).,6.8,3.1,CWE-798,cpe:2.3:o:panasonic:wv-s2231l_firmware:4.25:*:*:*:*:*:*:*|cpe:2.3:h:panasonic:wv-s2231l:-:*:*:*:*:*:*:*
keyword_only,CVE-2020-29194,2020-12-28,Panasonic Security System WV-S2231L 4.25 allows a denial of service of the admin control panel (which will require a physical reset to restore administrative control) via Randomnum=99AC8CEC6E845B28&mode=1 in a POST request to the cgi-bin/set_factory URI.,7.5,3.1,,cpe:2.3:o:panasonic:wv-s2231l_firmware:4.25:*:*:*:*:*:*:*|cpe:2.3:h:panasonic:wv-s2231l:-:*:*:*:*:*:*:*
