category,yes_seeds,device_seeds,app_cpe_dropped,platform_cpe_dropped,matched,already_known,new_candidates
airpurifier,2,178,0,0,2,2,0
alarms,88,21,3,0,61,23,38
appliances,3,2,0,0,3,3,0
babymonitor,11,3,0,0,7,5,2
cameras,778,1075,56,0,555,476,79
doorbell,44,9,1,0,20,20,0
doorlock,31,6,2,0,10,7,3
ev-charging,27,7,0,0,28,19,9
garden,18,18,3,0,16,7,9
home-power,33,42,7,0,26,26,0
hub,98,15,9,0,69,67,2
lighting,34,10,5,0,26,25,1
pet,35,5,1,0,27,27,0
robotvacuum,27,50,4,0,19,19,0
smartplugs,36,15,10,0,20,19,1
smartspeakers,37,16,24,0,28,22,6
streaming,2090,133,306,1072,2075,168,1907
thermostat,17,3,0,0,6,6,0
