cat_a,cat_b,n_a,n_b,z,p,p_bonferroni,sig
cameras,streaming,736,2090,5.979,2.250906131159722e-09,2.7010873573916663e-07,True
hub,streaming,95,2090,5.176,2.2611958023016651e-07,2.713434962761998e-05,True
alarms,streaming,88,2090,4.892,9.97072255179958e-07,0.00011964867062159496,True
hub,robotvacuum,95,26,4.172,3.0236426449690956e-05,0.003628371173962915,True
alarms,robotvacuum,88,26,4.089,4.3370260088759e-05,0.005204431210651081,True
doorbell,hub,44,95,-3.292,0.0009961068840736729,0.11953282608884075,False
alarms,doorbell,88,44,3.193,0.0014068057297194972,0.16881668756633966,False
cameras,robotvacuum,736,26,3.19,0.0014231013967759359,0.1707721676131123,False
home-power,robotvacuum,33,26,3.0,0.002699929962348395,0.32399159548180745,False
alarms,babymonitor,88,11,2.021,0.04325331775324318,1.0,False
alarms,cameras,88,736,2.448,0.01436338905233811,1.0,False
alarms,doorlock,88,27,2.162,0.030599484268955236,1.0,False
alarms,ev-charging,88,31,1.939,0.05244091755436136,1.0,False
alarms,garden,88,18,0.465,0.6417469150349941,1.0,False
alarms,home-power,88,33,0.617,0.5370988046840903,1.0,False
alarms,hub,88,95,-0.072,0.9425984111007175,1.0,False
alarms,lighting,88,34,2.001,0.04537641077194844,1.0,False
alarms,pet,88,35,1.988,0.04678352936787673,1.0,False
alarms,smartplugs,88,36,2.132,0.033039266352176876,1.0,False
alarms,smartspeakers,88,37,2.116,0.03430393670803962,1.0,False
alarms,thermostat,88,17,1.523,0.12772167775770094,1.0,False
babymonitor,cameras,11,736,-1.219,0.2228468009349066,1.0,False
babymonitor,doorbell,11,44,-0.169,0.8661775609495364,1.0,False
babymonitor,doorlock,11,27,-0.477,0.6331984255454477,1.0,False
babymonitor,ev-charging,11,31,-0.688,0.4916944202185106,1.0,False
babymonitor,garden,11,18,-1.375,0.169276294841617,1.0,False
babymonitor,home-power,11,33,-1.495,0.13497378998965384,1.0,False
babymonitor,hub,11,95,-2.063,0.03910976650476223,1.0,False
babymonitor,lighting,11,34,-0.699,0.4848309307970394,1.0,False
babymonitor,pet,11,35,-0.721,0.47117453954416566,1.0,False
babymonitor,robotvacuum,11,26,0.74,0.4591164232211097,1.0,False
babymonitor,smartplugs,11,36,-0.652,0.514291617201498,1.0,False
babymonitor,smartspeakers,11,37,-0.675,0.4998627495587874,1.0,False
babymonitor,streaming,11,2090,-0.377,0.706042661865409,1.0,False
babymonitor,thermostat,11,17,-0.628,0.5302278780191192,1.0,False
cameras,doorbell,736,44,2.02,0.043401460433795704,1.0,False
cameras,doorlock,736,27,1.019,0.3084397300327174,1.0,False
cameras,ev-charging,736,31,0.703,0.48184404693996863,1.0,False
cameras,garden,736,18,-0.653,0.5138037503360101,1.0,False
cameras,home-power,736,33,-0.844,0.3988037837429246,1.0,False
cameras,hub,736,95,-2.631,0.008525155893276147,1.0,False
cameras,lighting,736,34,0.73,0.4656892899430809,1.0,False
cameras,pet,736,35,0.701,0.48355665053468055,1.0,False
cameras,smartplugs,736,36,0.853,0.39367294729450586,1.0,False
cameras,smartspeakers,736,37,0.822,0.41080914848117844,1.0,False
cameras,thermostat,736,17,0.519,0.6035305222219014,1.0,False
doorbell,doorlock,44,27,-0.466,0.6412899580836282,1.0,False
doorbell,ev-charging,44,31,-0.787,0.4313560678567686,1.0,False
doorbell,garden,44,18,-1.677,0.0935230925213079,1.0,False
doorbell,home-power,44,33,-2.013,0.04409338072455517,1.0,False
doorbell,lighting,44,34,-0.812,0.4165632123549521,1.0,False
doorbell,pet,44,35,-0.849,0.39594722180584063,1.0,False
doorbell,robotvacuum,44,26,1.306,0.19152148298904692,1.0,False
doorbell,smartplugs,44,36,-0.747,0.45507333147335793,1.0,False
doorbell,smartspeakers,44,37,-0.784,0.43297916580425644,1.0,False
doorbell,streaming,44,2090,-0.376,0.7072222381974484,1.0,False
doorbell,thermostat,44,17,-0.652,0.5146829684052858,1.0,False
doorlock,ev-charging,27,31,-0.268,0.7884977524562926,1.0,False
doorlock,garden,27,18,-1.168,0.2429005441543396,1.0,False
doorlock,home-power,27,33,-1.348,0.1777767980946624,1.0,False
doorlock,hub,27,95,-2.23,0.025744803665136918,1.0,False
doorlock,lighting,27,34,-0.278,0.7811776589845073,1.0,False
doorlock,pet,27,35,-0.306,0.7596363395842872,1.0,False
doorlock,robotvacuum,27,26,1.59,0.1117596476520538,1.0,False
doorlock,smartplugs,27,36,-0.212,0.8320972567586374,1.0,False
doorlock,smartspeakers,27,37,-0.241,0.809542757203764,1.0,False
doorlock,streaming,27,2090,0.293,0.7697972025284917,1.0,False
doorlock,thermostat,27,17,-0.233,0.8156830800231692,1.0,False
ev-charging,garden,31,18,-0.961,0.3366428274401986,1.0,False
ev-charging,home-power,31,33,-1.116,0.26449654512746434,1.0,False
ev-charging,hub,31,95,-2.01,0.04444316248182355,1.0,False
ev-charging,lighting,31,34,-0.004,0.9968216098705808,1.0,False
ev-charging,pet,31,35,-0.031,0.974927588610572,1.0,False
ev-charging,robotvacuum,31,26,1.909,0.05629616206574878,1.0,False
ev-charging,smartplugs,31,36,0.068,0.9458509304090266,1.0,False
ev-charging,smartspeakers,31,37,0.039,0.9685041004167557,1.0,False
ev-charging,streaming,31,2090,0.704,0.48170133049560726,1.0,False
ev-charging,thermostat,31,17,-0.005,0.9958914880707441,1.0,False
garden,home-power,18,33,0.019,0.9846695149563145,1.0,False
garden,hub,18,95,-0.51,0.6103050839374754,1.0,False
garden,lighting,18,34,0.973,0.3303612273615377,1.0,False
garden,pet,18,35,0.955,0.33961730388444966,1.0,False
garden,robotvacuum,18,26,2.584,0.009765724832221654,1.0,False
garden,smartplugs,18,36,1.044,0.2965050112068105,1.0,False
garden,smartspeakers,18,37,1.024,0.3057230107197979,1.0,False
garden,streaming,18,2090,1.741,0.08175717317732732,1.0,False
garden,thermostat,18,17,0.837,0.4024331228814917,1.0,False
home-power,hub,33,95,-0.676,0.4988977140206773,1.0,False
home-power,lighting,33,34,1.138,0.25509489307370004,1.0,False
home-power,pet,33,35,1.118,0.2634452295712997,1.0,False
home-power,smartplugs,33,36,1.227,0.21977931752352975,1.0,False
home-power,smartspeakers,33,37,1.206,0.22790481560270026,1.0,False
home-power,streaming,33,2090,2.316,0.020540538890388944,1.0,False
home-power,thermostat,33,17,0.93,0.35255157008231275,1.0,False
hub,lighting,95,34,2.075,0.03795647686577892,1.0,False
hub,pet,95,35,2.063,0.03908323345378636,1.0,False
hub,smartplugs,95,36,2.209,0.02715999060564608,1.0,False
hub,smartspeakers,95,37,2.195,0.02816932997508399,1.0,False
hub,thermostat,95,17,1.573,0.11577224487250488,1.0,False
lighting,pet,34,35,-0.028,0.9775961806120668,1.0,False
lighting,robotvacuum,34,26,1.952,0.050921115600965905,1.0,False
lighting,smartplugs,34,36,0.074,0.9412298390015484,1.0,False
lighting,smartspeakers,34,37,0.045,0.9644006754213565,1.0,False
lighting,streaming,34,2090,0.742,0.4580704965336183,1.0,False
lighting,thermostat,34,17,-0.002,0.9984829259647556,1.0,False
pet,robotvacuum,35,26,1.99,0.046540241499419086,1.0,False
pet,smartplugs,35,36,0.103,0.9181543543118016,1.0,False
pet,smartspeakers,35,37,0.074,0.9412915644104579,1.0,False
pet,streaming,35,2090,0.792,0.42815149117141815,1.0,False
pet,thermostat,35,17,0.021,0.983274561339959,1.0,False
robotvacuum,smartplugs,26,36,-1.908,0.05644658142563356,1.0,False
