category,metric,value,n,pct
doorlock,attack_vector,Network,18,50.0
doorlock,attack_vector,Adjacent,10,27.8
doorlock,attack_vector,Local,1,2.8
doorlock,attack_vector,Physical,7,19.4
doorlock,attack_complexity,Low,32,88.9
doorlock,attack_complexity,High,4,11.1
doorlock,privileges_required,None,31,86.1
doorlock,privileges_required,Low,5,13.9
doorlock,user_interaction,None,35,97.2
doorlock,user_interaction,Required,1,2.8
doorlock,scope,Unchanged,32,88.9
doorlock,scope,Changed,4,11.1
doorlock,confidentiality,High,21,58.3
doorlock,confidentiality,Low,2,5.6
doorlock,confidentiality,None,13,36.1
doorlock,integrity,High,21,58.3
doorlock,integrity,Low,6,16.7
doorlock,integrity,None,9,25.0
doorlock,availability,High,18,50.0
doorlock,availability,None,18,50.0
doorlock,impact_combination,C+I+A,13,36.1
doorlock,impact_combination,C+I,4,11.1
doorlock,impact_combination,I+A,2,5.6
doorlock,impact_combination,C,6,16.7
doorlock,impact_combination,I,8,22.2
doorlock,impact_combination,A,3,8.3
smartspeakers,attack_vector,Network,12,31.6
smartspeakers,attack_vector,Adjacent,18,47.4
smartspeakers,attack_vector,Local,1,2.6
smartspeakers,attack_vector,Physical,7,18.4
smartspeakers,attack_complexity,Low,35,92.1
smartspeakers,attack_complexity,High,3,7.9
smartspeakers,privileges_required,None,35,92.1
smartspeakers,privileges_required,Low,3,7.9
smartspeakers,user_interaction,None,32,84.2
smartspeakers,user_interaction,Required,6,15.8
smartspeakers,scope,Unchanged,35,92.1
smartspeakers,scope,Changed,3,7.9
smartspeakers,confidentiality,High,29,76.3
smartspeakers,confidentiality,Low,9,23.7
smartspeakers,integrity,High,24,63.2
smartspeakers,integrity,Low,5,13.2
smartspeakers,integrity,None,9,23.7
smartspeakers,availability,High,25,65.8
smartspeakers,availability,Low,1,2.6
smartspeakers,availability,None,12,31.6
smartspeakers,impact_combination,C+I+A,25,65.8
smartspeakers,impact_combination,C+I,4,10.5
smartspeakers,impact_combination,C+A,1,2.6
smartspeakers,impact_combination,C,8,21.1
doorbell,attack_vector,Network,34,75.6
doorbell,attack_vector,Adjacent,4,8.9
doorbell,attack_vector,Local,4,8.9
doorbell,attack_vector,Physical,3,6.7
doorbell,attack_complexity,Low,42,93.3
doorbell,attack_complexity,High,3,6.7
doorbell,privileges_required,None,36,80.0
doorbell,privileges_required,Low,8,17.8
doorbell,privileges_required,High,1,2.2
doorbell,user_interaction,None,45,100.0
doorbell,scope,Unchanged,44,97.8
doorbell,scope,Changed,1,2.2
doorbell,confidentiality,High,28,62.2
doorbell,confidentiality,Low,9,20.0
doorbell,confidentiality,None,8,17.8
doorbell,integrity,High,23,51.1
doorbell,integrity,Low,4,8.9
doorbell,integrity,None,18,40.0
doorbell,availability,High,16,35.6
doorbell,availability,Low,2,4.4
doorbell,availability,None,27,60.0
doorbell,impact_combination,C+I+A,15,33.3
doorbell,impact_combination,C+I,6,13.3
doorbell,impact_combination,I+A,1,2.2
doorbell,impact_combination,C,16,35.6
doorbell,impact_combination,I,5,11.1
doorbell,impact_combination,A,2,4.4
thermostat,attack_vector,Network,11,64.7
thermostat,attack_vector,Adjacent,4,23.5
thermostat,attack_vector,Local,1,5.9
thermostat,attack_vector,Physical,1,5.9
thermostat,attack_complexity,Low,15,88.2
thermostat,attack_complexity,High,2,11.8
thermostat,privileges_required,None,14,82.4
thermostat,privileges_required,Low,3,17.6
thermostat,user_interaction,None,14,82.4
thermostat,user_interaction,Required,3,17.6
thermostat,scope,Unchanged,16,94.1
thermostat,scope,Changed,1,5.9
thermostat,confidentiality,High,10,58.8
thermostat,confidentiality,Low,1,5.9
thermostat,confidentiality,None,6,35.3
thermostat,integrity,High,9,52.9
thermostat,integrity,Low,3,17.6
thermostat,integrity,None,5,29.4
thermostat,availability,High,10,58.8
thermostat,availability,None,7,41.2
thermostat,impact_combination,C+I+A,7,41.2
thermostat,impact_combination,C+I,1,5.9
thermostat,impact_combination,I+A,1,5.9
thermostat,impact_combination,C,3,17.6
thermostat,impact_combination,I,3,17.6
thermostat,impact_combination,A,2,11.8
babymonitor,attack_vector,Network,12,66.7
babymonitor,attack_vector,Adjacent,2,11.1
babymonitor,attack_vector,Local,3,16.7
babymonitor,attack_vector,Physical,1,5.6
babymonitor,attack_complexity,Low,16,88.9
babymonitor,attack_complexity,High,2,11.1
babymonitor,privileges_required,None,10,55.6
babymonitor,privileges_required,Low,7,38.9
babymonitor,privileges_required,High,1,5.6
babymonitor,user_interaction,None,18,100.0
babymonitor,scope,Unchanged,18,100.0
babymonitor,confidentiality,High,16,88.9
babymonitor,confidentiality,None,2,11.1
babymonitor,integrity,High,11,61.1
babymonitor,integrity,None,7,38.9
babymonitor,availability,High,10,55.6
babymonitor,availability,Low,1,5.6
babymonitor,availability,None,7,38.9
babymonitor,impact_combination,C+I+A,10,55.6
babymonitor,impact_combination,C,6,33.3
babymonitor,impact_combination,I,1,5.6
babymonitor,impact_combination,A,1,5.6
smartplugs,attack_vector,Network,20,64.5
smartplugs,attack_vector,Adjacent,9,29.0
smartplugs,attack_vector,Local,2,6.5
smartplugs,attack_complexity,Low,31,100.0
smartplugs,privileges_required,None,25,80.6
smartplugs,privileges_required,Low,5,16.1
smartplugs,privileges_required,High,1,3.2
smartplugs,user_interaction,None,25,80.6
smartplugs,user_interaction,Required,6,19.4
smartplugs,scope,Unchanged,28,90.3
smartplugs,scope,Changed,3,9.7
smartplugs,confidentiality,High,20,64.5
smartplugs,confidentiality,Low,4,12.9
smartplugs,confidentiality,None,7,22.6
smartplugs,integrity,High,13,41.9
smartplugs,integrity,Low,4,12.9
smartplugs,integrity,None,14,45.2
smartplugs,availability,High,16,51.6
smartplugs,availability,Low,2,6.5
smartplugs,availability,None,13,41.9
smartplugs,impact_combination,C+I+A,13,41.9
smartplugs,impact_combination,C+I,2,6.5
smartplugs,impact_combination,C,9,29.0
smartplugs,impact_combination,I,2,6.5
smartplugs,impact_combination,A,5,16.1
alarms,attack_vector,Network,60,69.8
alarms,attack_vector,Adjacent,16,18.6
alarms,attack_vector,Local,3,3.5
alarms,attack_vector,Physical,7,8.1
alarms,attack_complexity,Low,74,86.0
alarms,attack_complexity,High,12,14.0
alarms,privileges_required,None,68,79.1
alarms,privileges_required,Low,18,20.9
alarms,user_interaction,None,81,94.2
alarms,user_interaction,Required,5,5.8
alarms,scope,Unchanged,75,87.2
alarms,scope,Changed,11,12.8
alarms,confidentiality,High,60,69.8
alarms,confidentiality,Low,3,3.5
alarms,confidentiality,None,23,26.7
alarms,integrity,High,66,76.7
alarms,integrity,Low,5,5.8
alarms,integrity,None,15,17.4
