Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings
keyword_only,CVE-2019-14365,2019-11-12,"The Intercom plugin through 1.2.1 for WordPress leaks a Slack Access Token in source code. An attacker can obtain a lot of information about the victim's Slack (channels, members, etc.).",7.5,3.1,CWE-200,cpe:2.3:a:intercom:intercom:*:*:*:*:*:wordpress:*:*
keyword_only,CVE-2024-31680,2024-04-17,"File Upload vulnerability in Shibang Communications Co., Ltd. IP network intercom broadcasting system v.1.0 allows a local attacker to execute arbitrary code via the my_parser.php component.",8.8,3.1,CWE-434,
keyword_only,CVE-2014-2006,2014-06-28,Cross-site scripting (XSS) vulnerability in Intercom Web Kyukincho 3.x before 3.0.030 allows remote attackers to inject arbitrary web script or HTML via unspecified vectors.,4.3,2.0,CWE-79,cpe:2.3:a:intercom:web_kyukincho:3.0:*:*:*:*:*:*:*
keyword_only,CVE-2014-3881,2014-06-28,Cross-site request forgery (CSRF) vulnerability in Intercom Web Kyukincho 3.x before 3.0.030 allows remote attackers to hijack the authentication of arbitrary users.,6.8,2.0,CWE-352,cpe:2.3:a:intercom:web_kyukincho:3.0:*:*:*:*:*:*:*
keyword_only,CVE-2017-10815,2017-08-04,"MaLion for Windows 5.2.1 and earlier (only when ""Remote Control"" is installed) and MaLion for Mac 4.0.1 to 5.2.1 (only when ""Remote Control"" is installed) allow remote attackers to bypass authentication to execute arbitrary commands or operations on Terminal Agent.",8.1,3.0,CWE-287,cpe:2.3:a:intercom:malion:*:*:*:*:*:mac_os_x:*:*|cpe:2.3:a:intercom:malion:*:*:*:*:*:windows:*:*
keyword_only,CVE-2017-10816,2017-08-04,SQL injection vulnerability in the MaLion for Windows and Mac 5.0.0 to 5.2.1 allows remote attackers to execute arbitrary SQL commands via Relay Service Server.,9.8,3.1,CWE-89,cpe:2.3:a:intercom:malion:*:*:*:*:*:macos:*:*|cpe:2.3:a:intercom:malion:*:*:*:*:*:windows:*:*
keyword_only,CVE-2017-10817,2017-08-04,MaLion for Windows and Mac 5.0.0 to 5.2.1 allows remote attackers to bypass authentication to alter settings in Relay Service Server.,9.8,3.1,CWE-287,cpe:2.3:a:intercom:malion:*:*:*:*:*:macos:*:*|cpe:2.3:a:intercom:malion:*:*:*:*:*:windows:*:*
keyword_only,CVE-2017-10818,2017-08-04,MaLion for Windows and Mac versions 3.2.1 to 5.2.1 uses a hardcoded cryptographic key which may allow an attacker to alter the connection settings of Terminal Agent and spoof the Relay Service.,9.8,3.1,CWE-798,cpe:2.3:a:intercom:malion:*:*:*:*:*:macos:*:*|cpe:2.3:a:intercom:malion:*:*:*:*:*:windows:*:*
keyword_only,CVE-2017-10819,2017-08-04,"MaLion for Mac 4.3.0 to 5.2.1 does not properly validate certificates, which may allow an attacker to eavesdrop on an encrypted communication.",5.9,3.1,CWE-295,cpe:2.3:a:intercom:malion:*:*:*:*:*:macos:*:*
keyword_only,CVE-2021-31793,2021-05-06,An issue exists on NightOwl WDB-20-V2 WDB-20-V2_20190314 devices that allows an unauthenticated user to gain access to snapshots and video streams from the doorbell. The binary app offers a web server on port 80 that allows an unauthenticated user to take a snapshot from the doorbell camera via the /snapshot URI.,7.5,3.1,CWE-306,cpe:2.3:o:nightowlsp:wdb-20_firmware:20190314:*:*:*:*:*:*:*|cpe:2.3:h:nightowlsp:wdb-20:v2:*:*:*:*:*:*:*
