Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings
keyword_only,CVE-2018-8531,2018-10-10,"A remote code execution vulnerability exists in the way that Azure IoT Hub Device Client SDK using MQTT protocol accesses objects in memory, aka ""Azure IoT Device Client SDK Memory Corruption Vulnerability."" This affects Hub Device Client SDK, Azure IoT Edge.",8.8,3.0,CWE-787,cpe:2.3:a:microsoft:azure_internet_of_things_edge:-:*:*:*:*:*:*:*|cpe:2.3:a:microsoft:csharp_software_development_kit:*:*:*:*:*:azure_internet_of_things:*:*
keyword_only,CVE-2019-11891,2019-05-29,"A potential incorrect privilege assignment vulnerability exists in the app pairing mechanism of the Bosch Smart Home Controller (SHC) before 9.8.905 that may result in elevated privileges of the adversary's choosing. In order to exploit the vulnerability, the adversary needs physical access to the SHC during the attack.",8.0,3.1,CWE-266|CWE-269,cpe:2.3:o:bosch:smart_home_controller_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:bosch:smart_home_controller:-:*:*:*:*:*:*:*
keyword_only,CVE-2019-11892,2019-05-29,"A potential improper access control vulnerability exists in the JSON-RPC interface of the Bosch Smart Home Controller (SHC) before 9.8.905 that may result in reading or modification of the SHC's configuration or triggering and restoring backups. In order to exploit the vulnerability, the adversary needs to have successfully paired an app or service, which requires user interaction.",8.0,3.1,CWE-284,cpe:2.3:o:bosch:smart_home_controller_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:bosch:smart_home_controller:-:*:*:*:*:*:*:*
keyword_only,CVE-2019-11893,2019-05-29,"A potential incorrect privilege assignment vulnerability exists in the app permission update API of the Bosch Smart Home Controller (SHC) before 9.8.905 that may result in a restricted app obtaining default app permissions. In order to exploit the vulnerability, the adversary needs to have successfully paired an app with restricted permissions, which required user interaction.",8.0,3.1,CWE-266|CWE-269,cpe:2.3:o:bosch:smart_home_controller_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:bosch:smart_home_controller:-:*:*:*:*:*:*:*
keyword_only,CVE-2019-11894,2019-05-29,"A potential improper access control vulnerability exists in the backup mechanism of the Bosch Smart Home Controller (SHC) before 9.8.905 that may result in unauthorized download of a backup. In order to exploit the vulnerability, the adversary needs to download the backup directly after a backup triggered by a legitimate user has been completed.",5.7,3.1,CWE-284,cpe:2.3:o:bosch:smart_home_controller_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:bosch:smart_home_controller:-:*:*:*:*:*:*:*
keyword_only,CVE-2019-11895,2019-05-29,"A potential improper access control vulnerability exists in the JSON-RPC interface of the Bosch Smart Home Controller (SHC) before 9.8.905 that may result in a successful denial of service of the SHC and connected sensors and actuators. In order to exploit the vulnerability, the adversary needs to have successfully paired an app or service, which requires user interaction.",5.3,3.1,CWE-284,cpe:2.3:o:bosch:smart_home_controller_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:bosch:smart_home_controller:*:*:*:*:*:*:*:*
keyword_only,CVE-2019-11896,2019-05-29,"A potential incorrect privilege assignment vulnerability exists in the 3rd party pairing mechanism of the Bosch Smart Home Controller (SHC) before 9.8.907 that may result in a restricted app obtaining default app permissions. In order to exploit the vulnerability, the adversary needs to have successfully paired an app, which requires user interaction.",7.1,3.1,CWE-284|CWE-269,cpe:2.3:o:bosch:smart_home_controller_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:bosch:smart_home_controller:-:*:*:*:*:*:*:*
keyword_only,CVE-2022-29556,2022-04-28,The iot-manager microservice 1.0.0 in Northern.tech Mender Enterprise before 3.2.2 allows SSRF because the Azure IoT Hub integration provides several SSRF primitives that can execute cross-tenant actions via internal API endpoints.,9.8,3.1,CWE-918,cpe:2.3:a:northern.tech:mender:3.2.0:*:*:*:*:enterprise:*:*|cpe:2.3:a:northern.tech:mender:3.2.1:*:*:*:*:enterprise:*:*
keyword_only,CVE-2022-34753,2022-07-13,"A CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection') vulnerability exists that could cause remote root exploit when the command is compromised. Affected Products: SpaceLogic C-Bus Home Controller (5200WHC2), formerly known as C-Bus Wiser Homer Controller MK2 (V1.31.460 and prior)",8.8,3.1,CWE-78,cpe:2.3:o:schneider-electric:spacelogic_c-bus_home_controller_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:schneider-electric:spacelogic_c-bus_home_controller:-:*:*:*:*:*:*:*
keyword_only,CVE-2023-6248,2023-11-21,"The Syrus4 IoT gateway utilizes an unsecured MQTT server to download and execute arbitrary commands, allowing a remote unauthenticated attacker to execute code on any Syrus4 device connected to the cloud service. The MQTT server also leaks the location, video and diagnostic data from each connected device. An attacker who knows the IP address of the server is able to connect and perform the following operations:

  *  Get location data of the vehicle the device is connected to
  *  Send CAN bus messages via the ECU module ( https://syrus.digitalcomtech.com/docs/ecu-1 https://syrus.digitalcomtech.com/docs/ecu-1 )

  *  Immobilize the vehicle via the safe-immobilizer module ( https://syrus.digitalcomtech.com/docs/system-tools#safe-immobilization https://syrus.digitalcomtech.com/docs/system-tools#safe-immobilization )

  *  Get live video through the connected video camera

  *  Send audio messages to the driver ( https://syrus.digitalcomtech.com/docs/system-tools#apx-tts https://syrus.digitalcomtech.com/docs/system-tools#apx-tts )





",9.8,3.1,CWE-94|CWE-200|CWE-287|CWE-319,cpe:2.3:o:digitalcomtech:syrus_4g_iot_telematics_gateway_firmware:apex-23.43.2:*:*:*:*:*:*:*|cpe:2.3:h:digitalcomtech:syrus_4g_iot_telematics_gateway:-:*:*:*:*:*:*:*
keyword_only,CVE-2024-10523,2024-11-04,This vulnerability exists in TP-Link IoT Smart Hub due to storage of Wi-Fi credentials in plain text within the device firmware. An attacker with physical access could exploit this by extracting the firmware and analyzing the binary data to obtain the Wi-Fi credentials stored on the vulnerable device.,4.6,3.1,CWE-312,cpe:2.3:o:tp-link:tapo_h100_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tp-link:tapo_h100:1.0:*:*:*:*:*:*:*
keyword_only,CVE-2007-5383,2007-10-12,"The Thomson/Alcatel SpeedTouch 7G router, as used for the BT Home Hub 6.2.6.B and earlier, allows remote attackers on an intranet to bypass authentication and gain administrative access via vectors including a '/' (slash) character at the end of the PATH_INFO to cgi/b, aka ""double-slash auth bypass."" NOTE: remote attackers outside the intranet can exploit this by leveraging a separate CSRF vulnerability. NOTE: SpeedTouch 780 might also be affected by some of these issues.",10.0,2.0,CWE-287,cpe:2.3:h:alcatel:speedtouch_7g_router:*:*:*:*:*:*:*:*|cpe:2.3:h:bt:home_hub:*:*:*:*:*:*:*:*
keyword_only,CVE-2007-5384,2007-10-12,"Multiple cross-site request forgery (CSRF) vulnerabilities in the Thomson/Alcatel SpeedTouch 7G router, as used for the BT Home Hub 6.2.6.B and earlier, allow remote attackers to perform actions as administrators via unspecified POST requests, as demonstrated by enabling an inbound remote-assistance HTTPS session on TCP port 51003. NOTE: an authentication bypass can be leveraged to exploit this in the absence of an existing administrative session.  NOTE: SpeedTouch 780 might also be affected by some of these issues.",4.3,2.0,CWE-352,cpe:2.3:h:alcatel:speedtouch_7g_router:*:*:*:*:*:*:*:*|cpe:2.3:h:bt:home_hub:*:*:*:*:*:*:*:*
keyword_only,CVE-2007-5385,2007-10-12,"Multiple cross-site scripting (XSS) vulnerabilities in the Thomson/Alcatel SpeedTouch 7G router, as used for the BT Home Hub 6.2.6.B and earlier, allow remote attackers to inject arbitrary web script or HTML via unspecified vectors.",4.3,2.0,CWE-79,cpe:2.3:h:alcatel:speedtouch_7g_router:*:*:*:*:*:*:*:*|cpe:2.3:h:bt:home_hub:*:*:*:*:*:*:*:*
keyword_only,CVE-2018-15123,2018-08-13,Insecure configuration storage in Zipato Zipabox Smart Home Controller BOARD REV - 1 with System Version -118 allows remote attacker perform new attack vectors and take under control device and smart home.,9.8,3.0,,cpe:2.3:o:zipato:zipabox_firmware:118:*:*:*:*:*:*:*|cpe:2.3:h:zipato:zipabox:-:*:*:*:*:*:*:*
