category,method,n_vendor,n_keyword,n_both,n_observed,N_hat,N_lo,N_hi,recall,recall_lo,recall_hi,confidence
airconditioner,2src-chapman,15,10,1,24,87.0,42.8,235.7,0.276,0.102,0.561,low
airconditioner,3src-loglin[+BC],15,10,C=3,24,150.0,24.0,156.0,0.16,0.154,1.0,ok
alarms,2src-chapman,103,114,65,152,180.2,167.6,203.0,0.843,0.749,0.907,ok
alarms,3src-loglin[+AC+BC],103,114,C=79,152,308.7,152.0,732.9,0.492,0.207,1.0,ok
appliances,2src-chapman,2,2,0,4,8.0,4.7,25.9,0.5,0.154,0.846,low
appliances,3src-loglin[+AB],2,2,C=3,4,4.0,4.0,4.0,1.0,1.0,1.0,low
babymonitor,2src-chapman,88,10,8,90,107.8,94.6,158.9,0.835,0.567,0.951,ok
babymonitor,3src-loglin[+BC],88,10,C=16,91,104.5,91.0,125.7,0.871,0.724,1.0,ok
cameras,2src-chapman,2964,858,515,3307,4934.9,4708.3,5198.1,0.67,0.636,0.702,ok
cameras,3src-loglin[+AB+AC+BC],2964,858,C=835,3376,4871.1,4390.1,5910.2,0.693,0.571,0.769,ok
doorbell,2src-chapman,60,22,21,61,62.8,61.3,72.9,0.972,0.837,0.996,ok
doorbell,3src-loglin[+AC],60,22,C=31,61,62.9,61.0,67.7,0.97,0.901,1.0,ok
doorlock,2src-chapman,37,38,21,54,66.4,59.0,84.5,0.814,0.639,0.915,ok
doorlock,3src-loglin[+AB+AC+BC],37,38,C=24,57,208.7,66.4,888.3,0.273,0.064,0.859,ok
ev-charging,2src-chapman,98,189,53,234,347.3,305.8,413.0,0.674,0.567,0.765,ok
ev-charging,3src-loglin[+AC+BC],98,189,C=62,235,539.0,235.0,786.7,0.436,0.299,1.0,ok
fans,2src-chapman,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,degenerate
fans,3src-loglin[indep],1,1,C=1,1,1.0,1.0,1.0,1.0,1.0,1.0,low
fridge,2src-chapman,3,3,3,3,3.0,3.0,3.0,1.0,1.0,1.0,degenerate
fridge,3src-loglin[indep],3,3,C=2,3,3.0,3.0,3.0,1.0,1.0,1.0,low
garden,2src-chapman,12,13,1,24,90.0,43.8,244.3,0.267,0.098,0.548,low
garden,3src-loglin[+AB],12,13,C=16,27,29.5,27.0,36.2,0.914,0.747,1.0,ok
home-power,2src-chapman,38,16,2,52,220.0,111.1,529.7,0.236,0.098,0.468,low
home-power,3src-loglin[+AB+AC],38,16,C=39,53,54.8,53.0,66.5,0.967,0.797,1.0,ok
hub,2src-chapman,293,80,17,356,1322.0,932.0,1976.1,0.269,0.18,0.382,ok
hub,3src-loglin[+AB+AC+BC],293,80,C=218,359,629.3,359.0,5666.2,0.57,0.063,1.0,ok
lighting,2src-chapman,32,15,10,37,47.0,40.2,68.2,0.787,0.543,0.92,ok
lighting,3src-loglin[+AB+BC],32,15,C=31,38,38.5,38.0,40.9,0.988,0.93,1.0,ok
pet,2src-chapman,35,6,6,35,35.0,35.0,35.0,1.0,1.0,1.0,degenerate
pet,3src-loglin[+BC],35,6,C=27,35,35.0,35.0,35.0,1.0,1.0,1.0,ok
robotvacuum,2src-chapman,36,5,5,36,36.0,36.0,36.0,1.0,1.0,1.0,degenerate
robotvacuum,3src-loglin[+BC],36,5,C=21,36,36.0,36.0,36.0,1.0,1.0,1.0,ok
sensors,2src-chapman,1,13,1,13,13.0,13.0,13.0,1.0,1.0,1.0,degenerate
sensors,3src-loglin[+AC],1,13,C=2,13,13.0,13.0,13.0,1.0,1.0,1.0,low
sleeptracker,2src-chapman,3,1,0,4,7.0,4.5,22.2,0.571,0.18,0.89,low
smartplugs,2src-chapman,69,13,9,73,97.0,81.0,145.2,0.753,0.503,0.901,ok
smartplugs,3src-loglin[+BC],69,13,C=29,76,88.3,76.0,130.2,0.861,0.584,1.0,ok
smartspeakers,2src-chapman,83,67,57,93,97.5,94.5,106.5,0.954,0.873,0.984,ok
smartspeakers,3src-loglin[+AC+BC],83,67,C=38,100,100.9,100.1,104.4,0.992,0.958,0.999,ok
streaming,2src-chapman,218,36,25,229,310.7,269.0,395.5,0.737,0.579,0.851,ok
streaming,3src-loglin[+AB+BC],218,36,C=113,276,430.6,301.0,1338.6,0.641,0.206,0.917,ok
thermostat,2src-chapman,53,16,14,55,60.2,56.2,77.3,0.914,0.712,0.978,ok
thermostat,3src-loglin[+BC],53,16,C=15,56,61.0,56.0,122.1,0.919,0.459,1.0,ok
POOLED,2src-chapman(sum),,,,4849,8045.7,7488.1,8721.2,0.603,0.556,0.648,pooled
