Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings
keyword_only,CVE-2021-27944,2021-08-26,"Several high privileged APIs on the Vizio P65-F1 6.0.31.4-2 and E50x-E1 10.0.31.4-2 Smart TVs do not enforce access controls, allowing an unauthenticated threat actor to access privileged functionality, leading to OS command execution. The specific attack methodology is a file upload.",9.8,3.1,CWE-78,cpe:2.3:o:vizio:p65-f1_firmware:6.0.31.4-2:*:*:*:*:*:*:*|cpe:2.3:h:vizio:p65-f1:-:*:*:*:*:*:*:*|cpe:2.3:o:vizio:e50x-e1_firmware:10.0.31.4-2:*:*:*:*:*:*:*|cpe:2.3:h:vizio:e50x-e1:-:*:*:*:*:*:*:*
keyword_only,CVE-2019-6005,2019-09-12,"Smart TV Box firmware version prior to 1300 allows remote attackers to bypass access restriction to conduct arbitrary operations on the device without user's intent, such as installing arbitrary software or changing the device settings via Android Debug Bridge port 5555/TCP.",9.8,3.1,,cpe:2.3:o:kddi:smart_tv_box_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:kddi:smart_tv_box:-:*:*:*:*:*:*:*
keyword_only,CVE-2020-9264,2020-02-18,"ESET Archive Support Module before 1296 allows virus-detection bypass via a crafted Compression Information Field in a ZIP archive. This affects versions before 1294 of Smart Security Premium, Internet Security, NOD32 Antivirus, Cyber Security Pro (macOS), Cyber Security (macOS), Mobile Security for Android, Smart TV Security, and NOD32 Antivirus 4 for Linux Desktop.",5.5,3.1,CWE-436,cpe:2.3:a:eset:cyber_security:*:*:*:*:*:macos:*:*|cpe:2.3:a:eset:cyber_security:*:*:*:*:pro:macos:*:*|cpe:2.3:a:eset:internet_security:*:*:*:*:*:*:*:*|cpe:2.3:a:eset:mobile_security:*:*:*:*:*:android:*:*|cpe:2.3:a:eset:nod32_antivirus:*:*:*:*:*:*:*:*|cpe:2.3:a:eset:nod32_antivirus:4:*:*:*:*:linux:*:*|cpe:2.3:a:eset:smart_security:*:*:*:*:premium:*:*:*|cpe:2.3:a:eset:smart_tv_security:*:*:*:*:*:*:*:*
keyword_only,CVE-2020-10180,2020-03-05,"The ESET AV parsing engine allows virus-detection bypass via a crafted BZ2 Checksum field in an archive. This affects versions before 1294 of Smart Security Premium, Internet Security, NOD32 Antivirus, Cyber Security Pro (macOS), Cyber Security (macOS), Mobile Security for Android, Smart TV Security, and NOD32 Antivirus 4 for Linux Desktop.",9.8,3.1,CWE-436,cpe:2.3:a:eset:cyber_security:*:*:*:*:*:macos:*:*|cpe:2.3:a:eset:cyber_security:*:*:*:*:pro:macos:*:*|cpe:2.3:a:eset:mobile_security:*:*:*:*:*:android:*:*|cpe:2.3:a:eset:nod32_antivirus:*:*:*:*:*:*:*:*|cpe:2.3:a:eset:nod32_antivirus:4:*:*:*:*:linux:*:*|cpe:2.3:a:eset:smart_security:*:*:*:*:*:*:*:*|cpe:2.3:a:eset:smart_security:*:*:*:*:premium:*:*:*|cpe:2.3:a:eset:smart_tv_security:*:*:*:*:*:*:*:*
keyword_only,CVE-2020-10193,2020-03-06,"ESET Archive Support Module before 1294 allows virus-detection bypass via crafted RAR Compression Information in an archive. This affects versions before 1294 of Smart Security Premium, Internet Security, NOD32 Antivirus, Cyber Security Pro (macOS), Cyber Security (macOS), Mobile Security for Android, Smart TV Security, and NOD32 Antivirus 4 for Linux Desktop.",7.5,3.1,CWE-436,cpe:2.3:a:eset:cyber_security:*:*:*:*:*:macos:*:*|cpe:2.3:a:eset:internet_security:*:*:*:*:*:*:*:*|cpe:2.3:a:eset:mobile_security:*:*:*:*:*:android:*:*|cpe:2.3:a:eset:mobile_security:1294:*:*:*:*:*:*:*|cpe:2.3:a:eset:nod32_antivirus:*:*:*:*:*:linux:*:*|cpe:2.3:a:eset:nod32_antivirus:*:*:*:*:*:*:*:*|cpe:2.3:a:eset:smart_security:*:*:*:*:premium:*:*:*|cpe:2.3:a:eset:smart_tv_security:*:*:*:*:*:*:*:*
keyword_only,CVE-2020-27403,2020-11-10,"A vulnerability in the TCL Android Smart TV series V8-R851T02-LF1 V295 and below and V8-T658T01-LF1 V373 and below by TCL Technology Group Corporation allows an attacker on the adjacent network to arbitrarily browse and download sensitive files over an insecure web server running on port 7989 that lists all files & directories. An unprivileged remote attacker on the adjacent network, can download most system files, leading to serious critical information disclosure. Also, some TV models and/or FW versions may expose the webserver with the entire filesystem accessible on another port. For example, nmap scan for all ports run directly from the TV model U43P6046 (Android 8.0) showed port 7983 not mentioned in the original CVE description, but containing the same directory listing of the entire filesystem. This webserver is bound (at least) to localhost interface and accessible freely to all unprivileged installed apps on the Android such as a regular web browser. Any app can therefore read any files of any other apps including Android system settings including sensitive data such as saved passwords, private keys etc.",6.5,3.1,CWE-200,cpe:2.3:o:tcl:32s330_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tcl:32s330:-:*:*:*:*:*:*:*|cpe:2.3:o:tcl:40s330_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tcl:40s330:-:*:*:*:*:*:*:*|cpe:2.3:o:tcl:43s434_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tcl:43s434:-:*:*:*:*:*:*:*|cpe:2.3:o:tcl:50s434_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tcl:50s434:-:*:*:*:*:*:*:*|cpe:2.3:o:tcl:55s434_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tcl:55s434:-:*:*:*:*:*:*:*|cpe:2.3:o:tcl:65s434_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tcl:65s434:-:*:*:*:*:*:*:*|cpe:2.3:o:tcl:75s434_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tcl:75s434:-:*:*:*:*:*:*:*
keyword_only,CVE-2020-28055,2020-11-10,"A vulnerability in the TCL Android Smart TV series V8-R851T02-LF1 V295 and below and V8-T658T01-LF1 V373 and below by TCL Technology Group Corporation allows a local unprivileged attacker, such as a malicious App, to read & write to the /data/vendor/tcl, /data/vendor/upgrade, and /var/TerminalManager directories within the TV file system. An attacker, such as a malicious APK or local unprivileged user could perform fake system upgrades by writing to the /data/vendor/upgrage folder.",7.8,3.1,CWE-732,cpe:2.3:o:tcl:32s330_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tcl:32s330:-:*:*:*:*:*:*:*|cpe:2.3:o:tcl:40s330_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tcl:40s330:-:*:*:*:*:*:*:*|cpe:2.3:o:tcl:43s434_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tcl:43s434:-:*:*:*:*:*:*:*|cpe:2.3:o:tcl:50s434_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tcl:50s434:-:*:*:*:*:*:*:*|cpe:2.3:o:tcl:55s434_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tcl:55s434:-:*:*:*:*:*:*:*|cpe:2.3:o:tcl:65s434_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tcl:65s434:-:*:*:*:*:*:*:*|cpe:2.3:o:tcl:75s434_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tcl:75s434:-:*:*:*:*:*:*:*
keyword_only,CVE-2021-27943,2021-08-02,"The pairing procedure used by the Vizio P65-F1 6.0.31.4-2 and E50x-E1 10.0.31.4-2 Smart TVs and mobile application is vulnerable to a brute-force attack (against only 10000 possibilities), allowing a threat actor to forcefully pair the device, leading to remote control of the TV settings and configurations.",7.5,3.1,CWE-307,cpe:2.3:o:vizio:p65-f1_firmware:6.0.31.4-2:*:*:*:*:*:*:*|cpe:2.3:h:vizio:p65-f1:-:*:*:*:*:*:*:*|cpe:2.3:o:vizio:e50x-e1_firmware:10.0.31.4-2:*:*:*:*:*:*:*|cpe:2.3:h:vizio:e50x-e1:-:*:*:*:*:*:*:*
keyword_only,CVE-2021-27942,2021-08-03,"Vizio P65-F1 6.0.31.4-2 and E50x-E1 10.0.31.4-2 Smart TVs allow a threat actor to execute arbitrary code from a USB drive via the Smart Cast functionality, because files on the USB drive are effectively under the web root and can be executed.",6.8,3.1,,cpe:2.3:o:vizio:p65-f1_firmware:6.0.31.4-2:*:*:*:*:*:*:*|cpe:2.3:h:vizio:p65-f1:-:*:*:*:*:*:*:*|cpe:2.3:o:vizio:e50x-e1_firmware:10.0.31.4-2:*:*:*:*:*:*:*|cpe:2.3:h:vizio:e50x-e1:-:*:*:*:*:*:*:*
keyword_only,CVE-2024-12818,2025-01-15,"The WP Smart TV plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the plugin's 'tv-video-player' shortcode in all versions up to, and including, 2.1.8 due to insufficient input sanitization and output escaping on user supplied attributes. This makes it possible for authenticated attackers, with contributor-level access and above, to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.",6.4,3.1,CWE-79,
