method,category,term,n_judged,n_yes,n_no,precision,prune_candidate
vendor,cameras,synology surveillance station,25,0,25,0.0,Yes
vendor,cameras,geutebruck,12,0,12,0.0,Yes
vendor,cameras,digital watchdog,7,0,7,0.0,Yes
vendor,cameras,i-pro,6,0,6,0.0,Yes
vendor,streaming,kddi home,6,0,6,0.0,Yes
keyword,garden,weather station,5,0,5,0.0,Yes
vendor,cameras,d-link,1802,80,1722,0.044,Yes
vendor,babymonitor,d-link dcs,67,4,63,0.06,Yes
vendor,cameras,nuuo,29,2,27,0.069,Yes
vendor,hub,homey,20,2,18,0.1,Yes
vendor,alarms,monitoring station,4,0,4,0.0,
vendor,alarms,fibaro home center,4,0,4,0.0,
vendor,doorlock,assa abloy,4,0,4,0.0,
keyword,hub,home hub,4,0,4,0.0,
vendor,shades,powerview,4,0,4,0.0,
vendor,airconditioner,daikin,3,0,3,0.0,
vendor,airconditioner,smartlife,3,0,3,0.0,
vendor,cameras,march networks,3,0,3,0.0,
vendor,robotvacuum,imou,3,0,3,0.0,
vendor,streaming,openelec,3,0,3,0.0,
vendor,airconditioner,friedrich,2,0,2,0.0,
vendor,airconditioner,trane comfortlink,2,0,2,0.0,
vendor,alarms,arlo base station,2,0,2,0.0,
vendor,alarms,alarm.com,2,0,2,0.0,
vendor,cameras,visonic,2,0,2,0.0,
vendor,cameras,samsung camera,2,0,2,0.0,
vendor,cameras,provision-isr,2,0,2,0.0,
keyword,doorlock,smart padlock,2,0,2,0.0,
keyword,home-power,smart panel,2,0,2,0.0,
vendor,robotvacuum,medion,2,0,2,0.0,
keyword,sensors,gas detector,2,0,2,0.0,
keyword,sensors,leak detector,2,0,2,0.0,
keyword,sensors,temperature sensor,2,0,2,0.0,
vendor,streaming,virgin media,2,0,2,0.0,
vendor,streaming,sharp aquos,2,0,2,0.0,
vendor,thermostat,Alarm.com,2,0,2,0.0,
vendor,airconditioner,lg thinq,1,0,1,0.0,
vendor,airconditioner,vaillant,1,0,1,0.0,
vendor,airconditioner,midea,1,0,1,0.0,
vendor,alarms,hubitat,1,0,1,0.0,
vendor,alarms,security panel,1,0,1,0.0,
keyword,alarms,security panel,1,0,1,0.0,
vendor,appliances,lg thinq,1,0,1,0.0,
vendor,babymonitor,wifi baby monitor,1,0,1,0.0,
vendor,cameras,ring doorbell,1,0,1,0.0,
vendor,cameras,arecont,1,0,1,0.0,
vendor,cameras,speco,1,0,1,0.0,
vendor,cameras,wisenet,1,0,1,0.0,
vendor,cameras,sony camera,1,0,1,0.0,
vendor,cameras,dedicated micros,1,0,1,0.0,
vendor,cameras,illustra,1,0,1,0.0,
vendor,doorlock,keypad lock,1,0,1,0.0,
vendor,doorlock,level lock,1,0,1,0.0,
keyword,doorlock,biometric lock,1,0,1,0.0,
keyword,doorlock,fingerprint lock,1,0,1,0.0,
vendor,garden,ecowitt,1,0,1,0.0,
vendor,home-power,solaredge monitoring,1,0,1,0.0,
vendor,robotvacuum,irobot,1,0,1,0.0,
vendor,shades,somfy,1,0,1,0.0,
vendor,sleeptracker,fitbit,1,0,1,0.0,
vendor,sleeptracker,samsung galaxy watch,1,0,1,0.0,
