category,facet,n_devices,n_answered,n_unsure,modal_value_product,modal_share_product,modal_value_cve,modal_share_cve,weighting_divergence,verdict
alarms,actuatesPhysical,40,40,0,true,0.775,true,0.862,,summary-defensible
alarms,actuationConsequence,40,40,0,PropertyActuation,0.775,PropertyActuation,0.862,,summary-defensible
alarms,capturesAV,40,40,0,false,0.950,false,0.574,,NOT-USABLE-report-distribution
alarms,cloudDependence,40,38,2,CloudRequired,0.474,CloudRequired,0.630,,grouping-only
alarms,computeTier,40,31,9,McuClass,0.806,EmbeddedLinux,0.627,differs,grouping-only
alarms,consumerAvailability,40,40,0,RetailConsumer,0.775,RetailConsumer,0.766,,grouping-only
alarms,dataSensitivity,40,40,0,TelemetryData,0.925,TelemetryData,0.564,,NOT-USABLE-report-distribution
alarms,firmwareUpdateModel,40,39,1,NoUpdatePath,0.769,OtaAutomatic,0.516,differs,NOT-USABLE-report-distribution
alarms,formFactor,40,40,0,Fixed,0.925,Fixed,0.926,,summary-defensible
alarms,hasWebAdminUI,40,40,0,false,0.950,false,0.894,,summary-defensible
alarms,placement,40,37,3,Indoor,0.973,Indoor,0.989,,summary-defensible
alarms,supportLifetime,40,39,1,UndeclaredLifetime,1.000,UndeclaredLifetime,1.000,,summary-defensible
cameras,actuatesPhysical,40,40,0,false,0.975,false,0.978,,summary-defensible
cameras,actuationConsequence,40,40,0,NoActuation,0.975,NoActuation,0.978,,summary-defensible
cameras,capturesAV,40,40,0,true,0.575,true,0.591,,NOT-USABLE-report-distribution
cameras,cloudDependence,40,40,0,CloudOptional,0.950,CloudOptional,0.935,,summary-defensible
cameras,computeTier,40,40,0,EmbeddedLinux,1.000,EmbeddedLinux,1.000,,summary-defensible
cameras,consumerAvailability,40,40,0,InstallerChannel,0.500,MixedChannel,0.581,differs,NOT-USABLE-report-distribution
cameras,dataSensitivity,40,40,0,AvStreamData,0.975,AvStreamData,0.978,,summary-defensible
cameras,firmwareUpdateModel,40,40,0,ManualFlash,0.925,ManualFlash,0.903,,summary-defensible
cameras,formFactor,40,40,0,Fixed,1.000,Fixed,1.000,,summary-defensible
cameras,hasWebAdminUI,40,40,0,true,0.975,true,0.946,,summary-defensible
cameras,placement,40,40,0,Indoor,0.575,Indoor,0.624,,grouping-only
cameras,supportLifetime,40,40,0,UndeclaredLifetime,1.000,UndeclaredLifetime,1.000,,summary-defensible
doorbell,actuatesPhysical,28,23,5,true,0.696,true,0.800,,summary-defensible
