category,device,vendor,product,cve_count
airconditioner,mitsubishielectric:ma-ew85s-e,mitsubishielectric,ma-ew85s-e,2
airconditioner,mitsubishielectric:ma-ew85s-uk,mitsubishielectric,ma-ew85s-uk,2
airconditioner,mitsubishielectric:mac-507if-e,mitsubishielectric,mac-507if-e,2
airconditioner,mitsubishielectric:mac-587if-e,mitsubishielectric,mac-587if-e,2
airconditioner,mitsubishielectric:mac-587if2-e,mitsubishielectric,mac-587if2-e,2
airconditioner,mitsubishielectric:mac-588if-e,mitsubishielectric,mac-588if-e,2
airconditioner,mitsubishielectric:mfz-gxt50\/60\/73vfk,mitsubishielectric,mfz-gxt50\/60\/73vfk,2
airconditioner,mitsubishielectric:mfz-xt50\/60vfk,mitsubishielectric,mfz-xt50\/60vfk,2
airconditioner,mitsubishielectric:msxy-fp05\/07\/10\/13\/18\/20\/24vgk-sg1,mitsubishielectric,msxy-fp05\/07\/10\/13\/18\/20\/24vgk-sg1,2
airconditioner,mitsubishielectric:msy-gp10\/13\/15\/18\/20\/24vfk-sg1,mitsubishielectric,msy-gp10\/13\/15\/18\/20\/24vfk-sg1,2
airconditioner,mitsubishielectric:msz-ap15\/20\/25\/35\/42\/50\/60\/71vgk-e2,mitsubishielectric,msz-ap15\/20\/25\/35\/42\/50\/60\/71vgk-e2,2
airconditioner,mitsubishielectric:msz-ap15\/20\/25\/35\/42\/50\/60\/71vgk-er2,mitsubishielectric,msz-ap15\/20\/25\/35\/42\/50\/60\/71vgk-er2,2
airconditioner,mitsubishielectric:msz-ap15\/20\/25\/35\/42\/50\/60\/71vgk-et2,mitsubishielectric,msz-ap15\/20\/25\/35\/42\/50\/60\/71vgk-et2,2
airconditioner,mitsubishielectric:msz-ap22\/25\/35\/42\/50\/60\/71\/80vgkd-a2,mitsubishielectric,msz-ap22\/25\/35\/42\/50\/60\/71\/80vgkd-a2,2
airconditioner,mitsubishielectric:msz-ap22\/25\/35\/42\/50\/61\/70\/80vgkd-a1,mitsubishielectric,msz-ap22\/25\/35\/42\/50\/61\/70\/80vgkd-a1,2
airconditioner,mitsubishielectric:msz-ap25\/35\/42\/50\/60\/71vgk-e3,mitsubishielectric,msz-ap25\/35\/42\/50\/60\/71vgk-e3,2
airconditioner,mitsubishielectric:msz-ap25\/35\/42\/50\/60\/71vgk-er3,mitsubishielectric,msz-ap25\/35\/42\/50\/60\/71vgk-er3,2
airconditioner,mitsubishielectric:msz-ap25\/35\/42\/50\/60\/71vgk-et3,mitsubishielectric,msz-ap25\/35\/42\/50\/60\/71vgk-et3,2
airconditioner,mitsubishielectric:msz-ap25\/35\/42\/50vgk-e1,mitsubishielectric,msz-ap25\/35\/42\/50vgk-e1,2
airconditioner,mitsubishielectric:msz-ap25\/35\/42\/50vgk-e7,mitsubishielectric,msz-ap25\/35\/42\/50vgk-e7,2
airconditioner,mitsubishielectric:msz-ap25\/35\/42\/50vgk-e8,mitsubishielectric,msz-ap25\/35\/42\/50vgk-e8,2
airconditioner,mitsubishielectric:msz-ap25\/35\/42\/50vgk-en1,mitsubishielectric,msz-ap25\/35\/42\/50vgk-en1,2
airconditioner,mitsubishielectric:msz-ap25\/35\/42\/50vgk-en2,mitsubishielectric,msz-ap25\/35\/42\/50vgk-en2,2
