Category,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings
thermostat,CVE-2014-8120,2014-12-18,"The agent in Thermostat before 1.0.6, when using unspecified configurations, allows local users to obtain the JMX management URLs of all local Java virtual machines and gain privileges via unknown vectors.",4.4,2.0,,cpe:2.3:a:thermostat_project:thermostat:*:*:*:*:*:*:*:*
thermostat,CVE-2018-11315,2018-05-20,"The Local HTTP API in Radio Thermostat CT50 and CT80 1.04.84 and below products allows unauthorized access via a DNS rebinding attack. This can result in remote device temperature control, as demonstrated by a tstat t_heat request that accesses a device purchased in the Spring of 2018, and sets a home's target temperature to 95 degrees Fahrenheit. This vulnerability might be described as an addendum to CVE-2013-4860.",6.5,3.0,CWE-20,cpe:2.3:o:radiothermostat:ct50_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:radiothermostat:ct50:-:*:*:*:*:*:*:*|cpe:2.3:o:radiothermostat:ct80_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:radiothermostat:ct80:-:*:*:*:*:*:*:*
thermostat,CVE-2022-43704,2023-01-20,"The Sinilink XY-WFT1 WiFi Remote Thermostat, running firmware 1.3.6, allows an attacker to bypass the intended requirement to communicate using MQTT. It is possible to replay Sinilink aka SINILINK521 protocol (udp/1024) commands interfacing directly with the target device. This, in turn, allows for an attack to control the onboard relay without requiring authentication via the mobile application. This might result in an unacceptable temperature within the target device's physical environment.",5.9,3.1,CWE-294,cpe:2.3:o:sinilink:xy-wft1_firmware:1.3.6:*:*:*:*:*:*:*|cpe:2.3:h:sinilink:xy-wft1:-:*:*:*:*:*:*:*
thermostat,CVE-2023-24678,2023-03-17,A vulnerability in Centralite Pearl Thermostat 0x04075010 allows attackers to cause a Denial of Service (DoS) via a crafted Zigbee message.,7.5,3.1,,cpe:2.3:o:centralite:pearl_firmware:0x04075010:*:*:*:*:*:*:*|cpe:2.3:h:centralite:pearl:-:*:*:*:*:*:*:*
thermostat,CVE-2013-4860,2014-06-05,"Radio Thermostat CT80 And CT50 with firmware 1.4.64 and earlier does not restrict access to the API, which allows remote attackers to change the operation mode, wifi connection settings, temperature thresholds, and other settings via unspecified vectors.",8.3,2.0,CWE-264,cpe:2.3:o:radiothermostat:ct50_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:radiothermostat:ct50:-:*:*:*:*:*:*:*|cpe:2.3:o:radiothermostat:ct80_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:radiothermostat:ct80:-:*:*:*:*:*:*:*
thermostat,CVE-2015-3201,2015-06-08,"Thermostat before 2.0.0 uses world-readable permissions for the web.xml configuration file, which allows local users to obtain user credentials by reading the file.",2.1,2.0,CWE-200,cpe:2.3:a:redhat:thermostat:*:*:*:*:*:*:*:*
thermostat,CVE-2023-4212,2023-08-22,"
​A command injection vulnerability exists in Trane XL824, XL850, XL1050, and Pivot thermostats allowing an attacker to execute arbitrary commands as root using a specially crafted filename. The vulnerability requires physical access to the device via a USB stick.

",6.8,3.1,CWE-74|CWE-77,cpe:2.3:o:trane:xl824_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:trane:xl824:-:*:*:*:*:*:*:*|cpe:2.3:o:trane:xl850_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:trane:xl850:-:*:*:*:*:*:*:*|cpe:2.3:o:trane:xl1050_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:trane:xl1050:-:*:*:*:*:*:*:*|cpe:2.3:o:trane:pivot_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:trane:pivot:-:*:*:*:*:*:*:*
thermostat,CVE-2023-46892,2024-01-23,"The radio frequency communication protocol being used by Meross MSH30Q 4.5.23 is vulnerable to replay attacks, allowing attackers to record and replay previously captured communication to execute unauthorized commands or actions (e.g., thermostat's temperature).",8.8,3.1,CWE-294,cpe:2.3:o:meross:msh30q_firmware:4.5.23:*:*:*:*:*:*:*|cpe:2.3:h:meross:msh30q:-:*:*:*:*:*:*:*
thermostat,CVE-2025-6260,2025-07-24,"The embedded web server on the thermostat listed version ranges contain a vulnerability that allows unauthenticated attackers, either on the local area network or from the Internet via a router with port forwarding set up, to gain direct access to the thermostat's embedded web server and reset user credentials by manipulating specific elements of the embedded web interface.",9.8,3.1,CWE-306,
thermostat,CVE-2019-25708,2026-04-12,"Heatmiser Wifi Thermostat 1.7 contains a cross-site request forgery vulnerability that allows attackers to change administrator credentials by tricking authenticated users into submitting malicious requests. Attackers can craft HTML forms targeting the networkSetup.htm endpoint with parameters usnm, usps, and cfps to modify the admin username and password without user consent.",3.5,3.1,CWE-352,cpe:2.3:a:heatmiser:wifi_thermostat:1.7:*:*:*:*:*:*:*
thermostat,CVE-2018-25396,2026-05-29,Heatmiser Wifi Thermostat 1.7 contains a credential disclosure vulnerability that allows unauthenticated attackers to retrieve administrative credentials by accessing the networkSetup.htm page. Attackers can request the networkSetup.htm endpoint and extract plaintext username and password values from HTML form fields to gain administrative access to the thermostat.,7.5,3.1,CWE-256,
