category,phrase,reason_vendor_token
doorlock,tinxy,tinxy
doorlock,tinxy wifi,tinxy
smartspeakers,bose,bose
smartspeakers,bose soundtouch,bose
smartspeakers,amazon,amazon
smartspeakers,amazon echo,amazon
smartspeakers,google,google
smartspeakers,sonos one,sonos
smartspeakers,sonos,sonos
smartspeakers,installations of sonos,sonos
smartspeakers,sonos era,sonos
smartspeakers,on affected sonos,sonos
smartspeakers,affected sonos era,sonos
smartspeakers,affected sonos,sonos
smartspeakers,bose soundtouch devices,bose
smartspeakers,sonos one speaker,sonos
smartspeakers,ssh,ssh
doorbell,akuvox e11,akuvox
doorbell,akuvox,akuvox
doorbell,can be accessed,be
doorbell,be accessed,be
babymonitor,d-link dcs-825l,d-link
babymonitor,d-link,d-link
smartplugs,meross,meross
smartplugs,belkin,belkin
smartplugs,belkin wemo,belkin
smartplugs,tp-link tapo,tp-link
smartplugs,tp-link,tp-link
smartplugs,belkin wemo home,belkin
alarms,simplisafe original,simplisafe
alarms,simplisafe,simplisafe
alarms,channel in simplisafe,simplisafe
alarms,simplisafe ss3 firmware,simplisafe
alarms,simplisafe ss3,simplisafe
alarms,using an alternate,an
alarms,make an authenticated,an
alarms,hex,hex
alarms,ssid hex,hex
alarms,hex http,hex
alarms,construct an os,an
alarms,hex http parameter,hex
alarms,execute an xcmd,an
alarms,hozard,hozard
alarms,hozard alarm,hozard
robotvacuum,cloud,cloud
robotvacuum,ecovacs,ecovacs
robotvacuum,ecovacs robot lawnmowers,ecovacs
robotvacuum,ecovacs robot,ecovacs
lighting,philips hue bridge,philips
lighting,philips hue,philips
lighting,philips,philips
lighting,cloud,cloud
lighting,mystrom,mystrom
lighting,mystrom wifi,mystrom
lighting,mystrom wifi switch,mystrom
lighting,tcp,tcp
lighting,installations of philips,philips
lighting,listens on tcp,tcp
lighting,on tcp port,tcp
lighting,on tcp,tcp
lighting,tcp port,tcp
lighting,protocol,protocol
lighting,discovered in mystrom,mystrom
hub,homeseer,homeseer
hub,philips hue bridge,philips
hub,philips hue,philips
hub,philips,philips
hub,server of samsung,samsung
hub,samsung smartthings hub,samsung
hub,samsung smartthings,samsung
hub,samsung,samsung
hub,stack an attacker,an
hub,callback,callback
hub,sqlite database,sqlite
hub,sqlite database leading,sqlite
hub,its sqlite database,sqlite
hub,sqlite,sqlite
hub,its sqlite,sqlite
hub,interface in homeseer,homeseer
hub,homeseer hs2,homeseer
hub,on samsung smartthings,samsung
hub,on samsung,samsung
hub,fibaro home center,fibaro
hub,fibaro,fibaro
hub,fibaro home,fibaro
hub,protocol,protocol
hub,aqara,aqara
hub,aqara hub,aqara
hub,aqara hub devices,aqara
hub,vulnerabilities in aqara,aqara
hub,installations of philips,philips
hub,listens on tcp,tcp
hub,on tcp port,tcp
hub,on tcp,tcp
hub,tcp,tcp
hub,tcp port,tcp
hub,tp-link,tp-link
hub,bosch,bosch
hub,bosch smart home,bosch
hub,bosch smart,bosch
hub,paired an app,an
hub,zipato zipabox,zipato
hub,zipato zipabox smart,zipato
hub,zipato,zipato
ev-charging,chargepoint,chargepoint
ev-charging,chargepoint home flex,chargepoint
ev-charging,chargepoint home,chargepoint
ev-charging,installations of chargepoint,chargepoint
ev-charging,wolfbox level,wolfbox
ev-charging,wolfbox,wolfbox
ev-charging,installations of wolfbox,wolfbox
home-power,enphase envoy,enphase
home-power,enphase envoy r3,enphase
home-power,tcp,tcp
home-power,enphase,enphase
home-power,tcp port,tcp
home-power,discovered in sma,sma
home-power,sma,sma
home-power,sma solar,sma
home-power,sma solar technology,sma
home-power,passwords can be,be
home-power,protocol,protocol
home-power,on enphase,enphase
home-power,x devices,x
home-power,r3 x,x
home-power,d4 x,x
home-power,be retrieved by,be
home-power,envoy r3 x,x
home-power,x,x
home-power,number can be,be
home-power,by an unauthenticated,an
home-power,can be retrieved,be
home-power,on enphase envoy,enphase
home-power,x and d4,x
home-power,discovered on enphase,enphase
home-power,d4 x devices,x
home-power,be retrieved,be
home-power,gateway,gateway
home-power,iq gateway,gateway
home-power,gateway formerly known,gateway
home-power,gateway formerly,gateway
home-power,enphase iq gateway,enphase
home-power,iq gateway formerly,gateway
home-power,enphase iq,enphase
garden,rainmachine mini-8,rainmachine
garden,rainmachine mini-8 2nd,rainmachine
garden,rainmachine,rainmachine
garden,green electronics rainmachine,rainmachine
garden,electronics rainmachine,rainmachine
garden,electronics rainmachine mini-8,rainmachine
garden,yarbo firmware,yarbo
garden,yarbo,yarbo
garden,ecovacs robot,ecovacs
garden,ecovacs,ecovacs
garden,ecovacs robot lawnmowers,ecovacs
pet,petwant pf-103,petwant
pet,so in petwant,petwant
pet,petwant,petwant
pet,petwant pf-103 firmware,petwant
pet,furbo,furbo
pet,bluetooth,bluetooth
pet,are furbo,furbo
pet,be initiated,be
pet,affected are furbo,furbo
pet,furbo mini,furbo
pet,furbo mini up,furbo
pet,be difficult,be
pet,determined to be,be
pet,tomofun furbo,furbo
pet,furbo mini affected,furbo
pet,furbo mini this,furbo
pet,affects an unknown,an
pet,element,element
streaming,sony,sony
streaming,sony bravia,sony
streaming,tcp,tcp
streaming,sony bravia tv,sony
streaming,apple ios,apple
streaming,apple tv before,apple
streaming,used in apple,apple
streaming,webkit as,webkit
streaming,apple tv,apple
streaming,webkit as used,webkit
streaming,apple ios before,apple
streaming,webkit,webkit
streaming,apple,apple
streaming,dyld in apple,apple
streaming,kernel in apple,kernel
streaming,kernel,kernel
streaming,on sony bravia,sony
streaming,on sony,sony
streaming,component on sony,sony
streaming,nvidia tegra,nvidia
streaming,nvidia,nvidia
streaming,nvidia shield tv,nvidia
streaming,nvidia shield,nvidia
streaming,implementation in apple,apple
streaming,x,x
streaming,component in apple,apple
streaming,apple os,apple
streaming,x before,x
streaming,apple os x,apple
streaming,os x,x
streaming,imageio in apple,apple
streaming,video file,file
streaming,crafted video file,file
streaming,x through,x
streaming,transport in apple,apple
streaming,os x through,x
streaming,iokit in apple,apple
streaming,apple safari,apple
streaming,webkit cves,webkit
streaming,other webkit,webkit
streaming,other webkit cves,webkit
streaming,apple safari before,apple
streaming,than other webkit,webkit
streaming,webkit cves listed,webkit
streaming,os x before,x
streaming,launchd in apple,apple
streaming,subsystem in apple,apple
streaming,double free,free
streaming,free,free
streaming,coregraphics in apple,apple
streaming,iohidfamily in apple,apple
streaming,kernel memory,kernel
streaming,crafted font file,file
streaming,font file,file
streaming,fontparser in apple,apple
streaming,dfont file,file
streaming,crafted dfont file,file
streaming,ioacceleratorfamily in apple,apple
streaming,about kernel memory,kernel
streaming,about kernel,kernel
streaming,information about kernel,kernel
streaming,determine,determine
streaming,amazon,amazon
streaming,issue affects amazon,amazon
streaming,affects amazon,amazon
streaming,affects amazon fire,amazon
streaming,amazon fire tv,amazon
streaming,amazon fire,amazon
streaming,vizio,vizio
streaming,vizio p65-f1,vizio
streaming,freetype before,freetype
streaming,c in freetype,freetype
streaming,freetype,freetype
streaming,google chrome,google
streaming,webkit in apple,webkit
streaming,libxml2 in apple,apple
streaming,libc in apple,apple
streaming,zlib,zlib
streaming,decoder in apple,apple
streaming,opengl in apple,apple
streaming,media file,file
streaming,api in apple,apple
streaming,amazon fire os,amazon
streaming,crafted xml file,file
streaming,xml file,file
streaming,broadcom,broadcom
streaming,sensitive kernel,kernel
streaming,from kernel memory,kernel
streaming,from kernel,kernel
streaming,webkit page,webkit
streaming,webkit page loading,webkit
streaming,libxslt in apple,apple
streaming,certain apple,apple
streaming,certain apple products,apple
streaming,involves the webkit,webkit
streaming,webkit component it,webkit
streaming,apple products,apple
streaming,webkit component,webkit
streaming,tiff file,file
streaming,crafted tiff file,file
streaming,x el capitan,x
streaming,x el,x
streaming,os x el,x
streaming,apple products ios,apple
streaming,kernel component it,kernel
streaming,kernel component,kernel
streaming,involves the kernel,kernel
streaming,libarchive,libarchive
streaming,libarchive component,libarchive
streaming,c in zlib,zlib
streaming,on broadcom,broadcom
streaming,on broadcom bcm4355c0,broadcom
streaming,broadcom bcm4355c0,broadcom
streaming,broadcom bcm4355c0 wi-fi,broadcom
streaming,text file,file
streaming,crafted text file,file
streaming,high sierra,sierra
streaming,macos high sierra,sierra
streaming,sierra and security,sierra
streaming,be able,be
streaming,may be able,be
streaming,sierra,sierra
streaming,crafted audio file,file
streaming,audio file,file
streaming,sqlite component,sqlite
streaming,involves the sqlite,sqlite
streaming,sqlite,sqlite
streaming,sqlite component it,sqlite
streaming,third-party sqlite product,sqlite
streaming,third-party sqlite,sqlite
streaming,sqlite product,sqlite
streaming,sqlite product versions,sqlite
streaming,sqlite before,sqlite
streaming,bluetooth,bluetooth
streaming,high sierra before,sierra
streaming,sierra before,sierra
streaming,after free,free
streaming,free issue,free
streaming,after free issue,free
streaming,use after free,free
streaming,free issue was,free
streaming,causes an assert,an
streaming,kernel memory this,kernel
streaming,disclosure of kernel,kernel
streaming,sierra security update,sierra
streaming,high sierra security,sierra
streaming,sierra security,sierra
streaming,update 2019-002 sierra,sierra
streaming,2019-002 sierra,sierra
streaming,2019-002 high sierra,sierra
streaming,sierra ios,sierra
streaming,read kernel memory,kernel
streaming,read kernel,kernel
streaming,sierra tvos,sierra
streaming,position may be,be
streaming,able to determine,determine
