cve_id,change,old,new,categories
CVE-2026-12760,cpe_gained,0,12,cameras
CVE-2026-47149,cpe_gained,0,1,doorlock
CVE-2026-47151,cpe_gained,0,1,doorlock
CVE-2018-25126,score_gained,,9.3 (v4.0),cameras
CVE-2020-36871,score_gained,,8.7 (v4.0),cameras
CVE-2020-36873,score_gained,,8.7 (v4.0),cameras
CVE-2020-36874,score_gained,,8.7 (v4.0),cameras
CVE-2021-4468,score_gained,,8.7 (v4.0),cameras
CVE-2021-4469,score_gained,,8.7 (v4.0),cameras
CVE-2021-47707,score_gained,,9.3 (v4.0),cameras
CVE-2021-47710,score_gained,,8.7 (v4.0),cameras
CVE-2024-12094,score_gained,,5.4 (v4.0),doorlock
CVE-2024-14007,score_gained,,8.7 (v4.0),cameras
CVE-2024-41882,score_gained,,6.9 (v4.0),cameras
CVE-2024-41883,score_gained,,6.9 (v4.0),cameras
CVE-2024-41884,score_gained,,6.9 (v4.0),cameras
CVE-2024-41885,score_gained,,5.6 (v4.0),cameras
CVE-2024-41886,score_gained,,6.9 (v4.0),cameras
CVE-2024-41887,score_gained,,5.1 (v4.0),cameras
CVE-2024-47789,score_gained,,8.7 (v4.0),cameras
CVE-2024-47790,score_gained,,8.7 (v4.0),cameras
CVE-2024-5631,score_gained,,6.0 (v4.0),cameras
CVE-2024-5632,score_gained,,5.3 (v4.0),cameras
CVE-2025-10693,score_gained,,7.6 (v4.0),sensors
CVE-2025-1099,score_gained,,7.0 (v4.0),cameras
CVE-2025-14553,score_gained,,7.0 (v4.0),cameras
CVE-2025-2189,score_gained,,5.1 (v4.0),doorlock
CVE-2025-2394,score_gained,,4.7 (v4.0),robotvacuum
CVE-2025-34042,score_gained,,9.4 (v4.0),cameras
CVE-2025-34043,score_gained,,10.0 (v4.0),cameras
CVE-2025-34050,score_gained,,5.1 (v4.0),cameras
CVE-2025-34051,score_gained,,6.9 (v4.0),cameras
CVE-2025-34053,score_gained,,6.9 (v4.0),cameras
CVE-2025-34054,score_gained,,10.0 (v4.0),cameras
CVE-2025-34055,score_gained,,9.4 (v4.0),cameras
CVE-2025-34056,score_gained,,9.4 (v4.0),cameras
CVE-2025-34065,score_gained,,6.9 (v4.0),cameras
CVE-2025-34066,score_gained,,8.3 (v4.0),cameras
CVE-2025-3442,score_gained,,4.4 (v4.0),hub
CVE-2025-7503,score_gained,,10.0 (v4.0),cameras
CVE-2025-7723,score_gained,,8.5 (v4.0),cameras
CVE-2025-7724,score_gained,,8.7 (v4.0),cameras
CVE-2025-7964,score_gained,,9.2 (v4.0),hub
CVE-2025-9983,score_gained,,7.1 (v4.0),cameras
CVE-2026-0629,score_gained,,8.7 (v4.0),cameras
CVE-2026-1201,score_gained,,9.4 (v4.0),hub
CVE-2026-12527,score_gained,,6.0 (v4.0),cameras
CVE-2026-12760,score_gained,,6.5 (v3.1),cameras
CVE-2026-29114,score_gained,,2.3 (v4.0),cameras
CVE-2026-29115,score_gained,,6.9 (v4.0),cameras
CVE-2026-29116,score_gained,,8.7 (v4.0),cameras
CVE-2026-34123,score_gained,,7.0 (v4.0),cameras
CVE-2026-47149,score_gained,,6.5 (v3.1),doorlock
CVE-2026-47151,score_gained,,7.1 (v3.1),doorlock
CVE-2026-5667,score_gained,,7.2 (v4.0),airconditioner|fridge
CVE-2026-6239,score_gained,,6.8 (v4.0),cameras
CVE-2026-6240,score_gained,,6.8 (v4.0),cameras
CVE-2026-6241,score_gained,,6.8 (v4.0),cameras
CVE-2026-6242,score_gained,,6.8 (v4.0),cameras
CVE-2026-9274,score_gained,,5.2 (v4.0),cameras
