slug,n_cves,web_admin_hits,web_admin_share,web_admin_share_broad,pattern_fragile,derived_hasWebAdminUI,asserted_hasWebAdminUI,web_agrees,android_share,linux_share,derived_computeTier,asserted_computeTier,tier_agrees
cameras,885,204,0.231,0.584,true,true,true,true,0.018,0.015,insufficient-evidence,EmbeddedLinux,undetermined
hub,247,13,0.053,0.81,true,false,true,false,0.0,0.004,insufficient-evidence,EmbeddedLinux,undetermined
alarms,89,16,0.18,0.416,false,false,true,false,0.034,0.0,insufficient-evidence,EmbeddedLinux,undetermined
streaming,76,1,0.013,0.289,true,false,false,true,0.289,0.0,AndroidDerived,AndroidDerived,true
ev-charging,71,4,0.056,0.746,true,false,true,false,0.0,0.0,insufficient-evidence,EmbeddedLinux,undetermined
doorbell,45,3,0.067,0.378,true,false,true,false,0.0,0.044,insufficient-evidence,EmbeddedLinux,undetermined
home-power,45,1,0.022,0.578,true,false,true,false,0.0,0.0,insufficient-evidence,EmbeddedLinux,undetermined
smartspeakers,38,0,0.0,0.5,true,false,false,true,0.105,0.105,insufficient-evidence,EmbeddedLinux,undetermined
smartplugs,37,2,0.054,0.324,true,false,false,true,0.0,0.0,insufficient-evidence,McuClass,undetermined
doorlock,36,1,0.028,0.333,true,false,false,true,0.056,0.0,insufficient-evidence,McuClass,undetermined
pet,35,0,0.0,0.257,true,false,false,true,0.029,0.029,insufficient-evidence,EmbeddedLinux,undetermined
lighting,34,0,0.0,0.5,true,false,false,true,0.029,0.0,insufficient-evidence,McuClass,undetermined
robotvacuum,27,0,0.0,0.444,true,false,false,true,0.148,0.0,insufficient-evidence,EmbeddedLinux,undetermined
garden,19,1,0.053,0.684,true,false,true,false,0.105,0.0,insufficient-evidence,EmbeddedLinux,undetermined
babymonitor,18,0,0.0,0.333,true,false,true,false,0.0,0.0,insufficient-evidence,EmbeddedLinux,undetermined
thermostat,18,1,0.056,0.389,true,false,false,true,0.0,0.0,insufficient-evidence,EmbeddedLinux,undetermined
airconditioner,5,0,0.0,0.6,true,false,false,true,0.0,0.0,insufficient-evidence,McuClass,undetermined
sensors,4,0,0.0,0.25,false,false,false,true,0.0,0.0,insufficient-evidence,McuClass,undetermined
appliances,3,0,0.0,0.667,true,false,false,true,0.0,0.0,insufficient-evidence,EmbeddedLinux,undetermined
fridge,3,0,0.0,0.667,true,false,false,true,0.0,0.0,insufficient-evidence,AndroidDerived,undetermined
airpurifier,2,0,0.0,1.0,true,false,false,true,0.0,0.0,insufficient-evidence,McuClass,undetermined
fans,1,0,0.0,0.0,false,false,false,true,0.0,0.0,insufficient-evidence,McuClass,undetermined
