category,vendor,n_yes_evidence,n_keyword_evidence,covered_elsewhere_slug,snapshot_total,new_yield,risk_flags,sample_cves,sample_descriptions
alarms,goabode,39,0,,40,38,,CVE-2022-27804|CVE-2022-27805|CVE-2022-29472,"An os command injection vulnerability exists in the web interface util_set_abode_code functionality of Abode Systems, Inc. iota All-In-One Security Ki|An authentication bypass vulnerability exists in the GHOME control functionality of Abode Systems, Inc. iota All-In-One Security Kit 6.9X and 6.9Z. A |An OS command injection vulnerability exists in the web interface util_set_serial_mac functionality of Abode Systems, Inc. iota All-In-One Security Ki"
alarms,abus,1,7,,14,6,,CVE-2023-26609|CVE-2018-16739|CVE-2018-17558,"ABUS TVIP 20000-21150 devices allows remote attackers to execute arbitrary code via shell metacharacters in the /cgi-bin/mft/wireless_mft ap field.|An issue was discovered on certain ABUS TVIP devices. Due to a path traversal in /opt/cgi/admin/filewrite, an attacker can write to files, and thus ex|Hardcoded manufacturer credentials and an OS command injection vulnerability in the /cgi-bin/mft/ directory on ABUS TVIP TVIP20050 LM.1.6.18, TVIP1005"
cameras,cisco,0,18,,6593,3429,mega-vendor|dictionary-word,CVE-2000-0486|CVE-2000-0700|CVE-2000-1022,"Buffer overflow in Cisco TACACS+ tac_plus server allows remote attackers to cause a denial of service via a malformed packet with a long length field.|Cisco Gigabit Switch Routers (GSR) with Fast Ethernet / Gigabit Ethernet cards, from IOS versions 11.2(15)GS1A up to 11.2(19)GS0.2 and some versions o|The mailguard feature in Cisco Secure PIX Firewall 5.2(2) and earlier does not properly restrict access to SMTP commands, which allows remote attacker"
cameras,tenda,0,5,,1842,1837,mega-vendor,CVE-2014-7281|CVE-2015-5995|CVE-2017-14514,Cross-site request forgery (CSRF) vulnerability in Shenzhen Tenda Technology Tenda A32 Router with firmware 5.07.53_CN allows remote attackers to hija|Mediabridge Medialink MWN-WAPR300N devices with firmware 5.07.50 and Tenda N3 Wireless N150 devices allow remote attackers to obtain administrative ac|Directory Traversal on Tenda W15E devices before 15.11.0.14 allows remote attackers to read unencrypted files via a crafted URL.
cameras,google,5,1,alarms|doorbell|fans|gameconsoles|hub|smartspeakers|streaming|thermostat,14871,570,mega-vendor,CVE-2012-3290|CVE-2012-4050|CVE-2016-0964,"Multiple unspecified vulnerabilities in Google Chrome before 20.0.1132.22 on the Acer AC700; Samsung Series 5, 5 550, and Chromebox 3; and Cr-48 Chrom|Multiple unspecified vulnerabilities in Google Chrome OS before 21.0.1180.50 on the Cr-48 and Samsung Series 5 and 5 550 Chromebook platforms, and the|Adobe Flash Player before 18.0.0.329 and 19.x and 20.x before 20.0.0.306 on Windows and OS X and before 11.2.202.569 on Linux, Adobe AIR before 20.0.0"
cameras,schneider-electric,0,3,hub,775,380,mega-vendor,CVE-2015-7937|CVE-2016-2278|CVE-2015-6485,"Stack-based buffer overflow in the GoAhead Web Server on Schneider Electric Modicon M340 PLC BMXNOx and BMXPx devices allows remote attackers to execu|Schneider Electric Struxureware Building Operations Automation Server AS 1.7 and earlier and AS-P 1.7 and earlier allows remote authenticated administ|Schneider Electric Telvent Sage 2300 RTUs with firmware before C3413-500-S01, and LANDAC II-2, Sage 1410, Sage 1430, Sage 1450, Sage 2400, and Sage 30"
cameras,qnap,6,6,,635,356,mega-vendor,CVE-2017-5227|CVE-2017-6359|CVE-2017-6360,QNAP QTS before 4.2.4 Build 20170313 allows local users to obtain sensitive Domain Administrator password information by reading data in an XOR format|QNAP QTS before 4.2.4 Build 20170313 allows attackers to gain administrator privileges and execute arbitrary commands via unspecified vectors.|QNAP QTS before 4.2.4 Build 20170313 allows attackers to gain administrator privileges and obtain sensitive information via unspecified vectors.
cameras,milesight,0,8,,89,70,known-fp-bomb,CVE-2023-24505|CVE-2023-24506|CVE-2023-43261,"
Milesight NCR/camera version 71.8.0.6-r5 discloses sensitive information through an unspecified request. 

|


Milesight NCR/camera version 71.8.0.6-r5 exposes credentials through an unspecified request. 

 

|An information disclosure in Milesight UR5X, UR32L, UR32, UR35, UR41 before v35.3.0.7 allows attackers to access sensitive router components."
cameras,ui,0,5,,93,52,,CVE-2018-12590|CVE-2015-9266|CVE-2017-0938,"Ubiquiti Networks EdgeSwitch version 1.7.3 and prior suffer from an externally controlled format-string vulnerability due to lack of protection on the|The web management interface of Ubiquiti airMAX, airFiber, airGateway and EdgeSwitch XP (formerly TOUGHSwitch) allows an unauthenticated attacker to u|Denial of Service attack in airMAX < 8.3.2 , airMAX < 6.0.7 and EdgeMAX < 1.9.7 allow attackers to use the Discovery Protocol in amplification attacks"
cameras,honeywell,0,4,airpurifier|alarms|fans|sensors|smartplugs|thermostat,103,50,known-fp-bomb,CVE-2015-7907|CVE-2015-7908|CVE-2017-5139,"Directory traversal vulnerability in the web server on Honeywell Midas gas detectors before 1.13b3 and Midas Black gas detectors before 2.13b3 allows |Honeywell Midas gas detectors before 1.13b3 and Midas Black gas detectors before 2.13b3 allow remote attackers to discover cleartext passwords by snif|An issue was discovered in Honeywell XL Web II controller XL1000C500 XLWebExe-2-01-00 and prior, and XLWeb 500 XLWebExe-1-02-08 and prior. Any user is"
cameras,axis,13,27,doorbell,100,48,known-fp-bomb|dictionary-word,CVE-2003-1386|CVE-2015-8255|CVE-2015-8258,"AXIS 2400 Video Server 2.00 through 2.33 allows remote attackers to obtain sensitive information via an HTTP request to /support/messages, which displ|AXIS Communications products allow CSRF, as demonstrated by admin/pwdgrp.cgi, vaconfig.cgi, and admin/local_del.cgi.|AXIS Communications products with firmware through 5.80.x allow remote attackers to modify arbitrary files as root via vectors involving Open Script E"
cameras,geutebrueck,0,10,,27,16,,CVE-2021-33543|CVE-2021-33544|CVE-2021-33545,"Multiple camera devices by UDP Technology, Geutebrück and other vendors allow unauthenticated remote access to sensitive files due to default user aut|Multiple camera devices by UDP Technology, Geutebrück and other vendors are vulnerable to command injection, which may allow an attacker to remotely e|Multiple camera devices by UDP Technology, Geutebrück and other vendors are vulnerable to a stack-based buffer overflow condition in the counter param"
cameras,getvera,1,2,,14,12,,CVE-2017-9388|CVE-2017-9381|CVE-2017-9384,An issue was discovered on Vera VeraEdge 1.7.19 and Veralite 1.7.481 devices. The device provides a web user interface that allows a user to manage th|An issue was discovered on Vera VeraEdge 1.7.19 and Veralite 1.7.481 devices. The device provides a user with the capability of installing or deleting|An issue was discovered on Vera VeraEdge 1.7.19 and Veralite 1.7.481 devices. The device provides a web user interface that allows a user to manage th
cameras,mercurycom,2,4,,12,8,,CVE-2022-31849|CVE-2021-27825|CVE-2023-46518,MERCURY MIPC451-4 1.0.22 Build 220105 Rel.55642n was discovered to contain a remote code execution (RCE) vulnerability which is exploitable via a craf|A directory traversal vulnerability on Mercury MAC1200R devices allows attackers to read arbitrary files via a web-static/ URL.|Mercury A15 V1.0 20230818_1.0.3 was discovered to contain a command execution vulnerability via the component cloudDeviceTokenSuccCB.
cameras,apollotechnologiesinc,6,0,,6,5,,CVE-2018-12257|CVE-2018-12259|CVE-2018-12260,"An issue was discovered on Momentum Axel 720P 5.1.8 devices. There is Authenticated Custom Firmware Upgrade via DNS Hijacking. An authenticated root u|An issue was discovered on Momentum Axel 720P 5.1.8 devices. Root access can be obtained via UART pins without any restrictions, which leads to full s|An issue was discovered on Momentum Axel 720P 5.1.8 devices. The root password can be obtained in cleartext by issuing the command 'showKey' from the "
cameras,roku,2,3,smartspeakers|streaming,5,2,,CVE-2018-11314|CVE-2022-27152,The External Control API in Roku and Roku TV products allow unauthorized access via a DNS Rebind attack. This can result in remote device control and |Roku devices running RokuOS v9.4.0 build 4200 or earlier that uses a Realtek WiFi chip is vulnerable to Arbitrary file modification.
cameras,anker,6,0,babymonitor|home-power|smartspeakers,13,1,known-fp-bomb|dictionary-word,CVE-2018-19980,Anker Nebula Capsule Pro NBUI_M1_V2.1.9 devices allow attackers to cause a denial of service (reboot of the underlying Android 7.1.2 operating system)
cameras,shenzhenningyuandatechnology,2,4,,4,0,,,
cameras,opticam,13,7,,20,0,,,
cameras,wificam,0,5,,5,0,,,
cameras,seasofsolutions,0,3,,3,0,,,
cameras,sv3c,0,10,,10,0,,,
cameras,zavio,0,9,,9,0,,,
cameras,loftek,0,4,,4,0,,,
cameras,dw,0,6,,7,0,,,
cameras,tecvoz,0,5,,5,0,,,
cameras,camtron,0,5,,5,0,,,
cameras,hisilicon,0,3,,3,0,,,
cameras,insma,0,5,home-power,5,0,,,
hub,qualcomm,0,38,,2498,2408,mega-vendor,CVE-2017-14910|CVE-2017-11088|CVE-2018-11257,"In Snapdragon Automobile, Snapdragon IoT and Snapdragon Mobile MDM9206 MDM9607, MDM9650, S820A, S820Am, SD 210/SD 212/SD 205, SD 410/12, SD 425, SD 43|Improper Input Validation in Linux io-prefetch in Snapdragon Mobile and Snapdragon Wear, A SQL injection vulnerability exists in versions MSM8909W, MS|Permissions, Privileges, and Access Controls in TA in Snapdragon Mobile has an options that allows RPMB erase for secure devices in versions SD 210/SD"
pet,petwant,9,0,,9,0,,,
