iri	vocabulary
https://saref.etsi.org/core/ActuatingFunction	SAREF core
https://saref.etsi.org/core/Actuation	SAREF core
https://saref.etsi.org/core/Actuator	SAREF core
https://saref.etsi.org/core/Appliance	SAREF core
https://saref.etsi.org/core/CloseCommand	SAREF core
https://saref.etsi.org/core/CloseState	SAREF core
https://saref.etsi.org/core/Coal	SAREF core
https://saref.etsi.org/core/Command	SAREF core
https://saref.etsi.org/core/CommandExecution	SAREF core
https://saref.etsi.org/core/CommandOfInterest	SAREF core
https://saref.etsi.org/core/Commodity	SAREF core
https://saref.etsi.org/core/Currency	SAREF core
https://saref.etsi.org/core/Device	SAREF core
https://saref.etsi.org/core/DoorSwitch	SAREF core
https://saref.etsi.org/core/Electricity	SAREF core
https://saref.etsi.org/core/Energy	SAREF core
https://saref.etsi.org/core/EnergyCommodity	SAREF core
https://saref.etsi.org/core/EnergyUnit	SAREF core
https://saref.etsi.org/core/EventFunction	SAREF core
https://saref.etsi.org/core/FeatureKind	SAREF core
https://saref.etsi.org/core/FeatureOfInterest	SAREF core
https://saref.etsi.org/core/Function	SAREF core
https://saref.etsi.org/core/FunctionOfInterest	SAREF core
https://saref.etsi.org/core/Gas	SAREF core
https://saref.etsi.org/core/GetCommand	SAREF core
https://saref.etsi.org/core/GetCurrentMeterValueCommand	SAREF core
https://saref.etsi.org/core/GetMeterDataCommand	SAREF core
https://saref.etsi.org/core/GetMeterHistoryCommand	SAREF core
https://saref.etsi.org/core/GetSensingDataCommand	SAREF core
https://saref.etsi.org/core/HVAC	SAREF core
https://saref.etsi.org/core/Humidity	SAREF core
https://saref.etsi.org/core/IlluminanceUnit	SAREF core
https://saref.etsi.org/core/LevelControlFunction	SAREF core
https://saref.etsi.org/core/Light	SAREF core
https://saref.etsi.org/core/LightSwitch	SAREF core
https://saref.etsi.org/core/Measurement	SAREF core
https://saref.etsi.org/core/Meter	SAREF core
https://saref.etsi.org/core/MeteringFunction	SAREF core
https://saref.etsi.org/core/Motion	SAREF core
https://saref.etsi.org/core/MultiLevelState	SAREF core
https://saref.etsi.org/core/NaturalResourceCommodity	SAREF core
https://saref.etsi.org/core/NotifyCommand	SAREF core
https://saref.etsi.org/core/Observation	SAREF core
https://saref.etsi.org/core/Occupancy	SAREF core
https://saref.etsi.org/core/OffCommand	SAREF core
https://saref.etsi.org/core/OffState	SAREF core
https://saref.etsi.org/core/OnCommand	SAREF core
https://saref.etsi.org/core/OnOffFunction	SAREF core
https://saref.etsi.org/core/OnOffState	SAREF core
https://saref.etsi.org/core/OnState	SAREF core
https://saref.etsi.org/core/OpenCloseFunction	SAREF core
https://saref.etsi.org/core/OpenCloseState	SAREF core
https://saref.etsi.org/core/OpenCommand	SAREF core
https://saref.etsi.org/core/OpenState	SAREF core
https://saref.etsi.org/core/Operation	SAREF core
https://saref.etsi.org/core/OperationExecution	SAREF core
https://saref.etsi.org/core/PauseCommand	SAREF core
https://saref.etsi.org/core/Power	SAREF core
https://saref.etsi.org/core/PowerUnit	SAREF core
https://saref.etsi.org/core/Pressure	SAREF core
https://saref.etsi.org/core/PressureUnit	SAREF core
https://saref.etsi.org/core/Price	SAREF core
https://saref.etsi.org/core/ProcedureExecution	SAREF core
https://saref.etsi.org/core/Profile	SAREF core
https://saref.etsi.org/core/Property	SAREF core
https://saref.etsi.org/core/PropertyOfInterest	SAREF core
https://saref.etsi.org/core/PropertyValue	SAREF core
https://saref.etsi.org/core/SensingFunction	SAREF core
